year,Category,month,N,population
2009,PROPERTY,11,2895,540922
2009,PROPERTY,10,2732,540922
2009,VIOLENT,11,447,540922
2009,VIOLENT,12,422,540922
2009,PROPERTY,5,3021,540922
2009,PROPERTY,6,3204,540922
2009,PROPERTY,7,3088,540922
2009,PROPERTY,8,3039,540922
2009,PROPERTY,9,2662,540922
2009,VIOLENT,5,433,540922
2009,VIOLENT,6,485,540922
2009,PROPERTY,12,2983,540922
2009,VIOLENT,9,447,540922
2009,VIOLENT,10,473,540922
2009,PROPERTY,1,2960,540922
2009,PROPERTY,2,2307,540922
2009,PROPERTY,3,2615,540922
2009,PROPERTY,4,2674,540922
2009,VIOLENT,1,498,540922
2009,VIOLENT,2,357,540922
2009,VIOLENT,3,431,540922
2009,VIOLENT,4,406,540922
2009,VIOLENT,7,521,540922
2009,VIOLENT,8,457,540922
2010,PROPERTY,11,2735,420003
2010,PROPERTY,12,2604,420003
2010,PROPERTY,1,2391,420003
2010,PROPERTY,2,1760,420003
2010,PROPERTY,3,2263,420003
2010,PROPERTY,4,2636,420003
2010,PROPERTY,5,2751,420003
2010,PROPERTY,6,2670,420003
2010,PROPERTY,7,2880,420003
2010,PROPERTY,8,2757,420003
2010,PROPERTY,9,2615,420003
2010,PROPERTY,10,2868,420003
2010,VIOLENT,7,455,420003
2010,VIOLENT,8,443,420003
2010,VIOLENT,9,435,420003
2010,VIOLENT,10,472,420003
2010,VIOLENT,11,389,420003
2010,VIOLENT,12,368,420003
2010,VIOLENT,3,375,420003
2010,VIOLENT,4,432,420003
2010,VIOLENT,1,363,420003
2010,VIOLENT,2,281,420003
2010,VIOLENT,5,417,420003
2010,VIOLENT,6,429,420003
2011,PROPERTY,5,2693,431740
2011,PROPERTY,6,2697,431740
2011,VIOLENT,9,423,431740
2011,VIOLENT,10,394,431740
2011,VIOLENT,11,436,431740
2011,VIOLENT,12,398,431740
2011,PROPERTY,3,2254,431740
2011,PROPERTY,4,2595,431740
2011,VIOLENT,1,344,431740
2011,PROPERTY,7,2915,431740
2011,PROPERTY,8,2823,431740
2011,PROPERTY,9,2557,431740
2011,PROPERTY,10,2688,431740
2011,PROPERTY,11,2466,431740
2011,PROPERTY,12,2495,431740
2011,VIOLENT,8,482,431740
2011,VIOLENT,4,412,431740
2011,PROPERTY,1,2240,431740
2011,PROPERTY,2,1756,431740
2011,VIOLENT,3,361,431740
2011,VIOLENT,5,515,431740
2011,VIOLENT,2,310,431740
2011,VIOLENT,7,476,431740
2011,VIOLENT,6,429,431740
2012,VIOLENT,11,366,443775
2012,PROPERTY,6,2628,443775
2012,PROPERTY,7,2646,443775
2012,PROPERTY,5,2499,443775
2012,VIOLENT,10,408,443775
2012,PROPERTY,1,2350,443775
2012,VIOLENT,12,398,443775
2012,PROPERTY,3,2150,443775
2012,PROPERTY,4,2218,443775
2012,VIOLENT,1,334,443775
2012,VIOLENT,2,288,443775
2012,PROPERTY,8,2587,443775
2012,PROPERTY,9,2387,443775
2012,PROPERTY,10,2463,443775
2012,PROPERTY,11,2316,443775
2012,PROPERTY,12,2472,443775
2012,VIOLENT,9,415,443775
2012,VIOLENT,4,413,443775
2012,VIOLENT,5,489,443775
2012,PROPERTY,2,1767,443775
2012,VIOLENT,3,382,443775
2012,VIOLENT,8,470,443775
2012,VIOLENT,6,436,443775
2012,VIOLENT,7,470,443775
2013,VIOLENT,12,385,447841
2013,VIOLENT,11,367,447841
2013,PROPERTY,7,2602,447841
2013,PROPERTY,8,2460,447841
2013,PROPERTY,5,2506,447841
2013,PROPERTY,6,2473,447841
2013,PROPERTY,1,2457,447841
2013,PROPERTY,2,1826,447841
2013,PROPERTY,3,2065,447841
2013,PROPERTY,4,2216,447841
2013,VIOLENT,1,411,447841
2013,VIOLENT,2,326,447841
2013,VIOLENT,3,349,447841
2013,VIOLENT,4,367,447841
2013,PROPERTY,9,2341,447841
2013,PROPERTY,10,2252,447841
2013,PROPERTY,11,2042,447841
2013,PROPERTY,12,2251,447841
2013,VIOLENT,9,437,447841
2013,VIOLENT,10,380,447841
2013,VIOLENT,5,460,447841
2013,VIOLENT,6,426,447841
2013,VIOLENT,7,428,447841
2013,VIOLENT,8,425,447841
2014,PROPERTY,3,1858,456002
2014,PROPERTY,4,2105,456002
2014,PROPERTY,5,2128,456002
2014,PROPERTY,6,2355,456002
2014,PROPERTY,7,2421,456002
2014,PROPERTY,8,2293,456002
2014,PROPERTY,9,2182,456002
2014,PROPERTY,10,2318,456002
2014,VIOLENT,11,389,456002
2014,VIOLENT,12,386,456002
2014,VIOLENT,3,384,456002
