year,Category,month,N,population
2014,PROPERTY,1,2651,912791
2014,PROPERTY,2,2344,912791
2014,PROPERTY,3,2634,912791
2014,PROPERTY,5,2716,912791
2014,PROPERTY,6,2582,912791
2014,PROPERTY,7,2854,912791
2014,PROPERTY,4,2574,912791
2014,PROPERTY,9,2640,912791
2014,PROPERTY,10,2771,912791
2014,PROPERTY,11,2482,912791
2014,PROPERTY,8,2824,912791
2014,VIOLENT,1,284,912791
2014,VIOLENT,2,221,912791
2014,VIOLENT,3,283,912791
2014,VIOLENT,4,290,912791
2014,VIOLENT,5,272,912791
2014,VIOLENT,6,302,912791
2014,VIOLENT,7,342,912791
2014,VIOLENT,8,277,912791
2014,VIOLENT,9,274,912791
2014,VIOLENT,10,278,912791
2014,VIOLENT,11,284,912791
2014,VIOLENT,12,248,912791
2014,PROPERTY,12,2544,912791
2015,PROPERTY,1,2842,931830
2015,PROPERTY,2,2618,931830
2015,PROPERTY,3,2920,931830
2015,PROPERTY,4,2923,931830
2015,PROPERTY,5,3035,931830
2015,PROPERTY,6,2987,931830
2015,PROPERTY,7,3181,931830
2015,PROPERTY,8,3046,931830
2015,PROPERTY,9,2904,931830
2015,PROPERTY,10,2843,931830
2015,PROPERTY,11,2887,931830
2015,PROPERTY,12,3033,931830
2015,VIOLENT,1,225,931830
2015,VIOLENT,2,255,931830
2015,VIOLENT,3,283,931830
2015,VIOLENT,4,267,931830
2015,VIOLENT,5,314,931830
2015,VIOLENT,6,301,931830
2015,VIOLENT,7,343,931830
2015,VIOLENT,8,300,931830
2015,VIOLENT,9,262,931830
2015,VIOLENT,10,237,931830
2015,VIOLENT,11,281,931830
2015,VIOLENT,12,286,931830
