year,Category,month,N,population
2010,PROPERTY,1,761,382578
2010,PROPERTY,2,607,382578
2010,PROPERTY,3,949,382578
2010,PROPERTY,4,1029,382578
2010,PROPERTY,5,1212,382578
2010,PROPERTY,6,1172,382578
2010,PROPERTY,7,1328,382578
2010,PROPERTY,8,1247,382578
2010,PROPERTY,9,1162,382578
2010,PROPERTY,10,1104,382578
2010,PROPERTY,11,1069,382578
2010,PROPERTY,12,863,382578
2010,VIOLENT,4,675,382578
2010,VIOLENT,1,470,382578
2010,VIOLENT,2,431,382578
2010,VIOLENT,3,594,382578
2010,VIOLENT,8,836,382578
2010,VIOLENT,5,714,382578
2010,VIOLENT,6,759,382578
2010,VIOLENT,7,822,382578
2010,VIOLENT,12,516,382578
2010,VIOLENT,9,754,382578
2010,VIOLENT,10,702,382578
2010,VIOLENT,11,563,382578
2011,PROPERTY,1,849,388227
2011,VIOLENT,1,493,388227
2011,PROPERTY,2,718,388227
2011,PROPERTY,3,856,388227
2011,PROPERTY,4,909,388227
2011,PROPERTY,5,1172,388227
2011,PROPERTY,6,1115,388227
2011,PROPERTY,7,1380,388227
2011,PROPERTY,8,1519,388227
2011,PROPERTY,9,1256,388227
2011,PROPERTY,10,1418,388227
2011,PROPERTY,11,1211,388227
2011,PROPERTY,12,1112,388227
2011,VIOLENT,4,666,388227
2011,VIOLENT,5,759,388227
2011,VIOLENT,2,425,388227
2011,VIOLENT,3,517,388227
2011,VIOLENT,8,805,388227
2011,VIOLENT,9,701,388227
2011,VIOLENT,6,749,388227
2011,VIOLENT,7,840,388227
2011,VIOLENT,12,690,388227
2011,VIOLENT,10,773,388227
2011,VIOLENT,11,696,388227
2012,PROPERTY,2,768,392880
2012,PROPERTY,1,921,392880
2012,VIOLENT,1,624,392880
2012,VIOLENT,2,581,392880
2012,PROPERTY,3,925,392880
2012,PROPERTY,4,977,392880
2012,PROPERTY,5,1126,392880
2012,PROPERTY,6,1248,392880
2012,PROPERTY,7,1378,392880
2012,PROPERTY,8,1351,392880
2012,PROPERTY,9,1272,392880
2012,PROPERTY,10,1370,392880
2012,PROPERTY,11,1120,392880
2012,PROPERTY,12,985,392880
2012,VIOLENT,4,671,392880
2012,VIOLENT,5,729,392880
2012,VIOLENT,6,777,392880
2012,VIOLENT,3,741,392880
2012,VIOLENT,8,780,392880
2012,VIOLENT,9,701,392880
2012,VIOLENT,10,748,392880
2012,VIOLENT,7,802,392880
2012,VIOLENT,12,662,392880
2012,VIOLENT,11,673,392880
2013,PROPERTY,2,711,400070
2013,PROPERTY,3,744,400070
2013,PROPERTY,1,937,400070
2013,VIOLENT,1,672,400070
2013,VIOLENT,2,597,400070
2013,VIOLENT,3,616,400070
2013,VIOLENT,4,639,400070
2013,PROPERTY,4,863,400070
2013,PROPERTY,5,997,400070
2013,PROPERTY,6,1164,400070
2013,PROPERTY,7,1517,400070
2013,PROPERTY,8,1375,400070
2013,PROPERTY,9,1385,400070
2013,PROPERTY,10,1262,400070
2013,PROPERTY,11,1177,400070
2013,PROPERTY,12,927,400070
2013,VIOLENT,8,853,400070
2013,VIOLENT,5,789,400070
2013,VIOLENT,6,781,400070
2013,VIOLENT,7,884,400070
2013,VIOLENT,12,647,400070
2013,VIOLENT,9,826,400070
2013,VIOLENT,10,805,400070
2013,VIOLENT,11,689,400070
2014,PROPERTY,1,809,407207
2014,PROPERTY,2,682,407207
2014,PROPERTY,3,797,407207
2014,PROPERTY,4,874,407207
2014,PROPERTY,5,1146,407207
2014,VIOLENT,1,686,407207
2014,VIOLENT,2,498,407207
2014,VIOLENT,3,667,407207
2014,VIOLENT,4,659,407207
2014,VIOLENT,5,781,407207
2014,PROPERTY,6,1380,407207
2014,PROPERTY,7,1340,407207
2014,PROPERTY,8,1341,407207
2014,PROPERTY,9,1263,407207
2014,PROPERTY,10,1212,407207
2014,PROPERTY,11,894,407207
2014,PROPERTY,12,1015,407207
2014,VIOLENT,8,903,407207
2014,VIOLENT,9,759,407207
2014,VIOLENT,6,821,407207
2014,VIOLENT,7,919,407207
2014,VIOLENT,12,668,407207
2014,VIOLENT,10,801,407207
2014,VIOLENT,11,611,407207
2015,PROPERTY,2,593,410939
2015,PROPERTY,1,895,410939
2015,PROPERTY,6,986,410939
2015,PROPERTY,3,840,410939
2015,PROPERTY,4,854,410939
2015,PROPERTY,5,958,410939
2015,VIOLENT,1,659,410939
2015,VIOLENT,2,496,410939
2015,VIOLENT,3,663,410939
2015,VIOLENT,4,678,410939
2015,VIOLENT,5,710,410939
2015,VIOLENT,6,798,410939
2015,PROPERTY,7,1125,410939
2015,PROPERTY,8,1190,410939
2015,PROPERTY,9,1128,410939
2015,PROPERTY,10,962,410939
2015,PROPERTY,11,1029,410939
2015,PROPERTY,12,883,410939
2015,VIOLENT,8,801,410939
2015,VIOLENT,9,735,410939
2015,VIOLENT,10,746,410939
2015,VIOLENT,7,874,410939
2015,VIOLENT,12,703,410939
2015,VIOLENT,11,689,410939
2016,PROPERTY,2,673,413651
2016,PROPERTY,3,769,413651
2016,PROPERTY,1,751,413651
2016,PROPERTY,6,1003,413651
2016,PROPERTY,4,807,413651
2016,PROPERTY,5,891,413651
2016,VIOLENT,1,638,413651
2016,VIOLENT,2,520,413651
2016,VIOLENT,3,642,413651
2016,VIOLENT,4,685,413651
2016,VIOLENT,5,716,413651
2016,VIOLENT,6,742,413651
