year,Category,month,N,population
2014,PROPERTY,10,15964,8491079
2014,OTHER,3,14502,8491079
2014,OTHER,2,12073,8491079
2014,VIOLENT,2,10477,8491079
2014,PROPERTY,1,13992,8491079
2014,PROPERTY,3,13828,8491079
2014,OTHER,1,13415,8491079
2014,PROPERTY,4,13734,8491079
2014,PROPERTY,5,15241,8491079
2014,PROPERTY,2,11926,8491079
2014,VIOLENT,6,14403,8491079
2014,VIOLENT,1,11727,8491079
2014,PROPERTY,8,16590,8491079
2014,VIOLENT,3,12248,8491079
2014,OTHER,9,13720,8491079
2014,VIOLENT,5,14423,8491079
2014,PROPERTY,12,13766,8491079
2014,VIOLENT,7,14575,8491079
2014,VIOLENT,4,11980,8491079
2014,VIOLENT,9,13421,8491079
2014,VIOLENT,10,13691,8491079
2014,VIOLENT,11,11889,8491079
2014,VIOLENT,8,14056,8491079
2014,PROPERTY,6,15293,8491079
2014,PROPERTY,7,16331,8491079
2014,OTHER,4,13973,8491079
2014,PROPERTY,9,15621,8491079
2014,OTHER,6,13186,8491079
2014,PROPERTY,11,13907,8491079
2014,OTHER,8,14179,8491079
2014,OTHER,5,14735,8491079
2014,VIOLENT,12,11496,8491079
2014,OTHER,7,13981,8491079
2014,OTHER,12,9699,8491079
2014,OTHER,11,12008,8491079
2014,OTHER,10,14313,8491079
2015,PROPERTY,5,14742,8550405
2015,VIOLENT,5,14119,8550405
2015,PROPERTY,10,14536,8550405
2015,PROPERTY,9,14546,8550405
2015,OTHER,2,10369,8550405
2015,PROPERTY,12,12673,8550405
2015,OTHER,7,14242,8550405
2015,PROPERTY,1,12266,8550405
2015,PROPERTY,11,13256,8550405
2015,PROPERTY,3,12984,8550405
2015,PROPERTY,4,13767,8550405
2015,OTHER,10,12974,8550405
2015,PROPERTY,2,10714,8550405
2015,PROPERTY,7,15322,8550405
2015,PROPERTY,8,15376,8550405
2015,OTHER,1,11192,8550405
2015,VIOLENT,3,11831,8550405
2015,OTHER,3,12851,8550405
2015,OTHER,4,13411,8550405
2015,OTHER,5,13587,8550405
2015,OTHER,6,13333,8550405
2015,VIOLENT,8,14693,8550405
2015,OTHER,8,14253,8550405
2015,OTHER,9,12953,8550405
2015,VIOLENT,11,12239,8550405
2015,OTHER,11,11763,8550405
2015,OTHER,12,10739,8550405
2015,VIOLENT,1,11019,8550405
2015,VIOLENT,2,9871,8550405
2015,VIOLENT,7,14370,8550405
2015,VIOLENT,4,12019,8550405
2015,VIOLENT,9,13567,8550405
2015,VIOLENT,6,13362,8550405
2015,VIOLENT,12,12157,8550405
2015,PROPERTY,6,14407,8550405
2015,VIOLENT,10,13073,8550405
