year,Category,month,N,population
2006,OTHER,5,5676,1520251
2006,OTHER,3,5830,1520251
2006,OTHER,4,6417,1520251
2006,OTHER,9,5581,1520251
2006,OTHER,6,6759,1520251
2006,OTHER,7,6579,1520251
2006,OTHER,8,7273,1520251
2006,PROPERTY,3,6263,1520251
2006,OTHER,10,6039,1520251
2006,OTHER,11,5552,1520251
2006,PROPERTY,2,5451,1520251
2006,PROPERTY,7,7648,1520251
2006,PROPERTY,4,6078,1520251
2006,PROPERTY,5,7242,1520251
2006,PROPERTY,6,7037,1520251
2006,PROPERTY,11,7170,1520251
2006,PROPERTY,8,7967,1520251
2006,PROPERTY,9,7535,1520251
2006,PROPERTY,10,7538,1520251
2006,VIOLENT,1,6302,1520251
2006,VIOLENT,2,5138,1520251
2006,VIOLENT,3,6534,1520251
2006,PROPERTY,1,6717,1520251
2006,VIOLENT,5,7123,1520251
2006,VIOLENT,6,6570,1520251
2006,VIOLENT,7,6932,1520251
2006,VIOLENT,4,6445,1520251
2006,VIOLENT,9,6528,1520251
2006,VIOLENT,10,7142,1520251
2006,VIOLENT,11,6550,1520251
2006,VIOLENT,8,6712,1520251
2006,OTHER,1,6340,1520251
2006,OTHER,2,5305,1520251
2006,VIOLENT,12,6273,1520251
2006,OTHER,12,5450,1520251
2006,PROPERTY,12,7059,1520251
2007,VIOLENT,4,6293,1530031
2007,VIOLENT,3,6368,1530031
2007,VIOLENT,8,6126,1530031
2007,VIOLENT,5,7041,1530031
2007,VIOLENT,6,6452,1530031
2007,VIOLENT,7,6660,1530031
2007,VIOLENT,12,5643,1530031
2007,VIOLENT,9,6298,1530031
2007,VIOLENT,10,6682,1530031
2007,VIOLENT,11,5737,1530031
2007,OTHER,3,5843,1530031
2007,OTHER,4,5966,1530031
2007,OTHER,5,5972,1530031
2007,OTHER,6,5544,1530031
2007,OTHER,7,6144,1530031
2007,OTHER,8,6537,1530031
2007,OTHER,9,5792,1530031
2007,OTHER,10,5257,1530031
2007,OTHER,11,4737,1530031
2007,OTHER,12,5147,1530031
2007,PROPERTY,12,6841,1530031
2007,OTHER,1,5179,1530031
2007,OTHER,2,4337,1530031
2007,PROPERTY,2,5300,1530031
2007,PROPERTY,3,6455,1530031
