year;population;rank
2016;472,522;38
2015;463,878;39
2014;456,002;39
2013;447,841;40
2012;443,775;40
2011;431,740;40
2010;420,003;40
2009;540,922;33
2008;537,385;33
2007;519,569;33
2006;498,208;34
2005;483,108;34
2004;468,839;35
2003;457,068;37
2002;442,947;39
2001;431,321;39
2000;421,323;40
1990;393,760;38
1980;425,022;29
1970;496,973;27
1960;487,455;24
1950;331,314;33
1940;302,288;28
1930;270,366;32
1920;200,616;33
1910;154,839;31
1900;89,872;43
1890;65,533;42
1880;37,409;49
1870;21,789;61
1860;9,554;99
