year;population;rank
2016;614,664;30
2015;621,849;29
2014;622,793;26
2013;622,104;26
2012;621,342;26
2011;620,216;23
2010;620,961;21
2009;637,418;21
2008;638,091;20
2007;640,150;20
2006;640,961;20
2005;640,064;18
2004;641,004;18
2003;642,324;18
2002;642,246;18
2001;645,253;18
2000;648,654;18
1990;736,014;12
1980;786,775;10
1970;905,759;7
1960;939,024;6
1950;949,708;6
1940;859,100;7
1930;804,874;8
1920;733,826;8
1910;558,485;7
1900;508,957;6
1890;434,439;7
1880;332,313;7
1870;267,354;6
1860;212,418;4
1850;169,054;2
1840;102,313;2
