year;population;rank
2016;1,317,929;9
2015;1,300,092;9
2014;1,281,047;9
2013;1,257,676;9
2012;1,241,162;9
2011;1,217,821;9
2010;1,197,816;9
2009;1,299,542;9
2008;1,279,539;9
2007;1,266,372;9
2006;1,255,211;9
2005;1,246,185;9
2004;1,234,212;9
2003;1,219,927;8
2002;1,208,225;8
2001;1,199,534;8
2000;1,190,731;8
1990;1,006,646;8
1980;904,078;7
1970;844,401;8
1960;679,684;14
1950;434,462;22
1940;294,734;31
1930;260,475;33
1920;158,976;42
1910;92,104;58
1900;42,638;88
1890;38,067;77
