year;population;rank
2016;672,795;23
2015;677,116;21
2014;680,250;18
2013;688,701;18
2012;701,475;18
2011;706,201;18
2010;713,777;18
2009;910,921;11
2008;912,632;11
2007;917,234;11
2006;918,849;10
2005;921,149;10
2004;924,016;10
2003;926,903;10
2002;928,870;10
2001;936,905;10
2000;945,297;10
1990;1,027,946;7
1980;1,203,339;6
1970;1,511,482;5
1960;1,670,144;5
1950;1,849,568;5
1940;1,623,452;4
1930;1,568,662;4
1920;993,078;4
1910;465,766;9
1900;285,704;13
1890;205,876;15
1880;116,340;18
1870;79,577;18
1860;45,619;19
1850;21,019;30
1840;9,102;40
