year;population;rank
2016;3,976,322;2
2015;3,971,883;2
2014;3,928,864;2
2013;3,884,307;2
2012;3,857,799;2
2011;3,823,316;2
2010;3,792,621;2
2009;3,831,868;2
2008;3,801,576;2
2007;3,778,658;2
2006;3,777,502;2
2005;3,794,640;2
2004;3,796,018;2
2003;3,787,833;2
2002;3,768,763;2
2001;3,737,646;2
2000;3,703,921;2
1990;3,485,499;2
1980;2,966,850;3
1970;2,816,061;3
1960;2,479,015;3
1950;1,970,358;4
1940;1,504,277;5
1930;1,238,048;5
1920;576,673;10
1910;319,198;17
1900;102,479;36
1890;50,395;57
