year;population;rank
2015;8,550,405;1
2014;8,491,079;1
2013;8,405,837;1
2012;8,336,697;1
2011;8,269,639;1
2010;8,175,133;1
2009;8,391,881;1
2008;8,346,794;1
2007;8,310,212;1
2006;8,250,567;1
2005;8,213,839;1
2004;8,169,940;1
2003;8,126,718;1
2002;8,092,749;1
2001;8,063,137;1
2000;8,015,348;1
1990;7,322,564;1
1980;7,071,639;1
1970;7,894,862;1
1960;7,781,984;1
1950;7,891,957;1
1940;7,454,995;1
1930;6,930,446;1
1920;5,620,048;1
1910;4,766,883;1
1900;3,437,202;1
1890;1,515,301;1
1880;1,206,299;1
1870;942,292;1
1860;813,669;1
1850;515,547;1
1840;312,710;1
