year;population;rank
2016;1,567,872;6
2015;1,567,442;5
2014;1,560,297;5
2013;1,553,165;5
2012;1,547,607;5
2011;1,538,567;5
2010;1,526,006;5
2009;1,547,297;6
2008;1,540,351;6
2007;1,530,031;6
2006;1,520,251;5
2005;1,517,628;5
2004;1,514,658;5
2003;1,510,068;5
2002;1,510,550;5
2001;1,512,507;5
2000;1,513,800;5
1990;1,585,577;5
1980;1,688,210;4
1970;1,948,609;4
1960;2,002,512;4
1950;2,071,605;3
1940;1,931,334;3
1930;1,950,961;3
1920;1,823,779;3
1910;1,549,008;3
1900;1,293,697;3
1890;1,046,964;3
1880;847,170;2
1870;674,022;2
1860;565,529;2
1850;121,376;4
1840;93,665;4
