year;population;rank
2016;870,887;13
2015;864,816;13
2014;852,469;13
2013;837,442;14
2012;825,863;14
2011;814,233;14
2010;805,235;13
2009;815,358;12
2008;808,001;13
2007;799,185;13
2006;786,149;14
2005;777,660;14
2004;773,284;14
2003;775,046;13
2002;779,281;13
2001;784,631;13
2000;777,360;13
1990;723,959;14
1980;678,974;13
1970;715,674;13
1960;740,316;12
1950;775,357;11
1940;634,536;12
1930;634,394;11
1920;506,676;12
1910;416,912;11
1900;342,782;9
1890;298,997;8
1880;233,959;9
1870;149,473;10
1860;56,802;15
