year;population;rank
2016;681,170;21
2015;672,228;22
2014;658,893;22
2013;646,449;23
2012;632,323;24
2011;619,020;25
2010;601,723;24
2009;599,657;27
2008;590,074;27
2007;586,409;26
2006;583,978;25
2005;582,049;24
2004;579,796;24
2003;577,777;23
2002;579,585;22
2001;578,042;22
2000;571,744;21
1990;606,900;19
1980;638,333;15
1970;756,510;9
1960;763,956;9
1950;802,178;9
1940;663,091;11
1930;486,869;14
1920;437,571;14
1910;331,069;16
1900;278,718;15
1890;230,392;14
1880;147,293;14
1870;109,199;12
1860;61,122;14
1850;40,001;18
1840;23,364;13
