year,Category,month,N,population
2012,PROPERTY,6,2570,621342
2012,PROPERTY,7,2788,621342
2012,PROPERTY,4,2387,621342
2012,PROPERTY,5,2768,621342
2012,VIOLENT,3,1861,621342
2012,VIOLENT,4,1589,621342
2012,PROPERTY,8,2873,621342
2012,PROPERTY,9,2468,621342
2012,PROPERTY,1,2276,621342
2012,PROPERTY,2,1984,621342
2012,PROPERTY,3,2442,621342
2012,VIOLENT,1,1562,621342
2012,VIOLENT,2,1378,621342
2012,VIOLENT,7,1627,621342
2012,VIOLENT,8,1642,621342
2012,VIOLENT,5,1880,621342
2012,VIOLENT,6,1727,621342
2012,VIOLENT,11,1530,621342
2012,VIOLENT,12,1565,621342
2012,VIOLENT,9,1740,621342
2012,VIOLENT,10,1605,621342
2012,PROPERTY,12,2317,621342
2012,PROPERTY,10,2620,621342
2012,PROPERTY,11,2376,621342
2013,PROPERTY,8,2909,622104
2013,PROPERTY,7,2868,622104
2013,VIOLENT,4,1611,622104
2013,VIOLENT,1,1563,622104
2013,VIOLENT,2,1317,622104
2013,VIOLENT,3,1459,622104
2013,VIOLENT,8,1719,622104
2013,VIOLENT,5,1741,622104
2013,VIOLENT,6,1667,622104
2013,VIOLENT,7,1614,622104
2013,PROPERTY,1,2250,622104
2013,PROPERTY,2,1884,622104
2013,PROPERTY,3,2179,622104
2013,PROPERTY,4,2376,622104
2013,PROPERTY,5,2710,622104
2013,PROPERTY,6,2752,622104
2013,PROPERTY,11,2588,622104
2013,PROPERTY,12,2664,622104
2013,PROPERTY,9,2611,622104
2013,PROPERTY,10,3052,622104
2013,VIOLENT,12,1497,622104
2013,VIOLENT,10,1555,622104
2013,VIOLENT,11,1374,622104
2013,VIOLENT,9,1611,622104
2014,VIOLENT,7,1413,622793
2014,VIOLENT,6,1447,622793
2014,PROPERTY,4,2325,622793
2014,PROPERTY,6,2577,622793
2014,PROPERTY,7,2784,622793
2014,PROPERTY,8,2646,622793
2014,PROPERTY,5,2554,622793
2014,PROPERTY,10,2667,622793
2014,PROPERTY,11,2341,622793
2014,PROPERTY,12,2376,622793
2014,PROPERTY,9,2578,622793
2014,PROPERTY,1,2315,622793
2014,PROPERTY,2,1780,622793
2014,PROPERTY,3,2058,622793
2014,VIOLENT,1,1338,622793
2014,VIOLENT,2,1110,622793
2014,VIOLENT,3,1386,622793
2014,VIOLENT,4,1433,622793
2014,VIOLENT,5,1610,622793
2014,VIOLENT,10,1548,622793
2014,VIOLENT,11,1387,622793
2014,VIOLENT,8,1481,622793
2014,VIOLENT,9,1499,622793
2014,VIOLENT,12,1316,622793
2015,PROPERTY,10,2666,621849
2015,PROPERTY,11,2561,621849
2015,PROPERTY,4,2466,621849
2015,PROPERTY,5,2607,621849
2015,PROPERTY,6,2926,621849
2015,PROPERTY,7,2945,621849
2015,PROPERTY,8,3019,621849
2015,PROPERTY,9,2805,621849
2015,VIOLENT,7,1834,621849
2015,VIOLENT,8,1640,621849
2015,PROPERTY,12,2483,621849
2015,VIOLENT,10,1551,621849
2015,PROPERTY,1,2369,621849
2015,PROPERTY,2,1634,621849
2015,PROPERTY,3,2092,621849
2015,VIOLENT,1,1256,621849
2015,VIOLENT,2,1018,621849
2015,VIOLENT,3,1272,621849
2015,VIOLENT,4,1438,621849
2015,VIOLENT,5,1829,621849
2015,VIOLENT,6,1736,621849
2015,VIOLENT,11,1524,621849
2015,VIOLENT,12,1566,621849
2015,VIOLENT,9,1604,621849
2016,PROPERTY,1,2061,614664
2016,PROPERTY,11,2552,614664
2016,PROPERTY,12,2377,614664
2016,VIOLENT,1,1346,614664
2016,VIOLENT,2,1192,614664
2016,VIOLENT,3,1513,614664
2016,VIOLENT,4,1564,614664
2016,VIOLENT,5,1776,614664
2016,VIOLENT,6,1770,614664
2016,VIOLENT,7,1670,614664
2016,VIOLENT,8,1800,614664
2016,VIOLENT,9,1887,614664
2016,VIOLENT,10,1964,614664
2016,VIOLENT,11,1811,614664
2016,VIOLENT,12,1766,614664
2016,PROPERTY,2,1696,614664
2016,PROPERTY,3,2122,614664
2016,PROPERTY,4,2295,614664
2016,PROPERTY,5,2480,614664
2016,PROPERTY,6,2672,614664
2016,PROPERTY,7,2436,614664
2016,PROPERTY,8,2463,614664
2016,PROPERTY,9,2622,614664
2016,PROPERTY,10,2914,614664
