year,Category,month,N,population
2001,OTHER,5,9054,2894988
2001,OTHER,4,8951,2894988
2001,VIOLENT,3,12648,2894988
2001,OTHER,3,10205,2894988
2001,VIOLENT,2,9894,2894988
2001,OTHER,6,8816,2894988
2001,OTHER,7,8905,2894988
2001,OTHER,8,9262,2894988
2001,PROPERTY,2,14816,2894988
2001,VIOLENT,4,13122,2894988
2001,OTHER,2,8898,2894988
2001,VIOLENT,1,10838,2894988
2001,PROPERTY,1,17017,2894988
2001,OTHER,1,9999,2894988
2001,PROPERTY,3,17487,2894988
2001,VIOLENT,5,14115,2894988
2001,VIOLENT,6,13861,2894988
2001,OTHER,9,8345,2894988
2001,OTHER,10,8646,2894988
2001,OTHER,11,8965,2894988
2001,OTHER,12,8544,2894988
2001,VIOLENT,12,11086,2894988
2001,PROPERTY,12,16981,2894988
2001,VIOLENT,8,13915,2894988
2001,PROPERTY,4,17779,2894988
2001,PROPERTY,5,18412,2894988
2001,VIOLENT,7,14668,2894988
2001,PROPERTY,11,18510,2894988
2001,VIOLENT,9,13418,2894988
2001,VIOLENT,10,13351,2894988
2001,VIOLENT,11,11925,2894988
2001,PROPERTY,6,18787,2894988
2001,PROPERTY,7,20798,2894988
2001,PROPERTY,8,20578,2894988
2001,PROPERTY,9,19487,2894988
2001,PROPERTY,10,20797,2894988
2002,OTHER,4,9594,2881295
2002,OTHER,5,9644,2881295
2002,OTHER,6,8835,2881295
2002,OTHER,3,9379,2881295
2002,VIOLENT,1,10716,2881295
2002,VIOLENT,2,9178,2881295
2002,VIOLENT,3,11235,2881295
2002,OTHER,7,8983,2881295
2002,VIOLENT,5,14152,2881295
2002,OTHER,8,8969,2881295
2002,OTHER,9,8115,2881295
2002,VIOLENT,4,11886,2881295
2002,OTHER,2,9019,2881295
2002,OTHER,1,9455,2881295
2002,PROPERTY,1,16278,2881295
2002,PROPERTY,2,13998,2881295
2002,PROPERTY,3,16025,2881295
2002,PROPERTY,4,16803,2881295
2002,VIOLENT,6,14752,2881295
2002,VIOLENT,7,15358,2881295
2002,OTHER,10,9142,2881295
2002,OTHER,11,8273,2881295
2002,OTHER,12,8939,2881295
2002,VIOLENT,12,10814,2881295
2002,PROPERTY,12,17282,2881295
2002,VIOLENT,8,14027,2881295
2002,VIOLENT,9,14046,2881295
2002,PROPERTY,5,18249,2881295
2002,PROPERTY,6,18304,2881295
2002,PROPERTY,11,16518,2881295
2002,PROPERTY,7,20627,2881295
2002,VIOLENT,10,13133,2881295
2002,VIOLENT,11,10787,2881295
2002,PROPERTY,10,19518,2881295
2002,PROPERTY,8,20266,2881295
2002,PROPERTY,9,19227,2881295
2003,OTHER,4,9323,2866361
2003,OTHER,3,9429,2866361
2003,VIOLENT,6,13384,2866361
2003,OTHER,5,9412,2866361
2003,OTHER,6,8600,2866361
2003,OTHER,7,9037,2866361
2003,VIOLENT,1,10123,2866361
2003,VIOLENT,2,9273,2866361
2003,VIOLENT,3,11940,2866361
2003,VIOLENT,4,12158,2866361
2003,VIOLENT,5,13422,2866361
2003,PROPERTY,5,18236,2866361
2003,PROPERTY,6,18030,2866361
2003,PROPERTY,7,20351,2866361
2003,OTHER,2,8953,2866361
2003,OTHER,1,9736,2866361
2003,PROPERTY,1,16103,2866361
2003,PROPERTY,2,14196,2866361
2003,PROPERTY,3,17202,2866361
2003,PROPERTY,4,18190,2866361
2003,OTHER,8,9748,2866361
2003,OTHER,9,9573,2866361
2003,OTHER,10,10723,2866361
2003,OTHER,11,9162,2866361
2003,OTHER,12,8519,2866361
2003,VIOLENT,12,10277,2866361
2003,PROPERTY,12,16907,2866361
2003,VIOLENT,8,13457,2866361
2003,VIOLENT,9,12590,2866361
2003,VIOLENT,10,12779,2866361
2003,VIOLENT,7,13670,2866361
2003,PROPERTY,11,17898,2866361
2003,PROPERTY,8,20376,2866361
2003,VIOLENT,11,10927,2866361
2003,PROPERTY,10,19327,2866361
2003,PROPERTY,9,19008,2866361
2004,PROPERTY,6,18670,2848996
2004,OTHER,4,9720,2848996
2004,PROPERTY,7,20626,2848996
2004,PROPERTY,9,18555,2848996
2004,OTHER,8,10038,2848996
2004,OTHER,5,9544,2848996
2004,PROPERTY,8,20506,2848996
2004,OTHER,3,10222,2848996
2004,VIOLENT,1,10034,2848996
2004,PROPERTY,10,19137,2848996
2004,OTHER,6,9086,2848996
2004,OTHER,7,9421,2848996
2004,VIOLENT,5,13402,2848996
2004,VIOLENT,2,10019,2848996
2004,VIOLENT,3,12101,2848996
2004,VIOLENT,4,11527,2848996
2004,PROPERTY,12,15839,2848996
2004,VIOLENT,6,13221,2848996
2004,OTHER,9,9837,2848996
2004,PROPERTY,11,17283,2848996
2004,OTHER,2,9668,2848996
2004,OTHER,1,9674,2848996
2004,PROPERTY,1,15011,2848996
2004,PROPERTY,2,14225,2848996
2004,PROPERTY,3,17307,2848996
2004,PROPERTY,4,16707,2848996
2004,PROPERTY,5,17721,2848996
2004,VIOLENT,7,13062,2848996
2004,OTHER,10,9975,2848996
2004,OTHER,11,9205,2848996
2004,VIOLENT,12,9764,2848996
2004,VIOLENT,11,10203,2848996
2004,VIOLENT,10,12291,2848996
2004,VIOLENT,8,12377,2848996
2004,VIOLENT,9,12676,2848996
2004,OTHER,12,8546,2848996
2005,PROPERTY,3,16083,2824584
