year,Category,month,N,population
2014,OTHER,10,1552,1281047
2014,VIOLENT,9,1526,1281047
2014,PROPERTY,9,4437,1281047
2014,VIOLENT,10,1616,1281047
2014,VIOLENT,12,1464,1281047
2014,OTHER,6,1187,1281047
2014,OTHER,7,1290,1281047
2014,OTHER,8,1418,1281047
2014,PROPERTY,8,4467,1281047
2014,VIOLENT,11,1411,1281047
2014,PROPERTY,11,4580,1281047
2014,PROPERTY,12,5248,1281047
2014,OTHER,11,1432,1281047
2014,OTHER,12,1345,1281047
2014,OTHER,9,1344,1281047
2014,PROPERTY,7,4781,1281047
2014,PROPERTY,10,4939,1281047
2014,VIOLENT,7,1705,1281047
2014,VIOLENT,8,1611,1281047
2014,VIOLENT,6,1415,1281047
2014,PROPERTY,6,4330,1281047
2015,VIOLENT,3,1585,1300092
2015,OTHER,3,1552,1300092
2015,VIOLENT,4,1521,1300092
2015,VIOLENT,2,1120,1300092
2015,OTHER,8,1613,1300092
2015,OTHER,5,1538,1300092
2015,PROPERTY,5,4696,1300092
2015,PROPERTY,9,4366,1300092
2015,OTHER,9,1571,1300092
2015,VIOLENT,1,1427,1300092
2015,OTHER,6,1576,1300092
2015,OTHER,7,1709,1300092
2015,VIOLENT,11,1544,1300092
2015,VIOLENT,12,1752,1300092
2015,PROPERTY,3,4289,1300092
2015,VIOLENT,5,1587,1300092
2015,PROPERTY,1,4923,1300092
2015,PROPERTY,2,3541,1300092
2015,OTHER,1,1480,1300092
2015,OTHER,2,1378,1300092
2015,VIOLENT,9,1624,1300092
2015,PROPERTY,10,4797,1300092
2015,OTHER,4,1444,1300092
2015,PROPERTY,12,5182,1300092
2015,PROPERTY,4,4366,1300092
2015,OTHER,11,1723,1300092
2015,PROPERTY,6,4833,1300092
2015,PROPERTY,7,4783,1300092
2015,PROPERTY,8,4821,1300092
2015,OTHER,10,1898,1300092
2015,VIOLENT,10,1728,1300092
2015,OTHER,12,1738,1300092
2015,PROPERTY,11,4778,1300092
2015,VIOLENT,8,1674,1300092
2015,VIOLENT,7,1811,1300092
2015,VIOLENT,6,1765,1300092
2016,OTHER,10,1996,1317929
2016,OTHER,11,1815,1317929
2016,OTHER,9,1808,1317929
2016,PROPERTY,2,4045,1317929
2016,OTHER,6,2020,1317929
2016,OTHER,5,2023,1317929
2016,VIOLENT,7,1882,1317929
2016,PROPERTY,3,4292,1317929
2016,OTHER,8,2025,1317929
2016,PROPERTY,1,4985,1317929
2016,OTHER,4,1838,1317929
2016,PROPERTY,12,5055,1317929
2016,PROPERTY,4,4658,1317929
2016,OTHER,7,1827,1317929
2016,VIOLENT,1,1616,1317929
2016,VIOLENT,2,1501,1317929
2016,VIOLENT,12,1635,1317929
2016,VIOLENT,4,1795,1317929
2016,VIOLENT,5,1820,1317929
2016,OTHER,12,1920,1317929
2016,VIOLENT,3,1703,1317929
2016,OTHER,1,1792,1317929
2016,OTHER,2,1718,1317929
2016,OTHER,3,1930,1317929
2016,PROPERTY,11,4869,1317929
2016,PROPERTY,6,4812,1317929
2016,VIOLENT,8,1693,1317929
2016,VIOLENT,9,1686,1317929
2016,VIOLENT,6,1786,1317929
2016,VIOLENT,11,1610,1317929
2016,PROPERTY,10,4790,1317929
2016,PROPERTY,7,4664,1317929
2016,VIOLENT,10,1760,1317929
2016,PROPERTY,5,4919,1317929
2016,PROPERTY,8,4813,1317929
2016,PROPERTY,9,4592,1317929
