year,Category,month,N,population
2010,PROPERTY,3,11285,3792621
2010,PROPERTY,1,12370,3792621
2010,PROPERTY,2,10075,3792621
2010,VIOLENT,3,6022,3792621
2010,VIOLENT,4,5850,3792621
2010,VIOLENT,1,6095,3792621
2010,PROPERTY,4,11133,3792621
2010,OTHER,1,826,3792621
2010,OTHER,2,666,3792621
2010,OTHER,3,790,3792621
2010,OTHER,4,750,3792621
2010,VIOLENT,2,5244,3792621
2010,OTHER,6,724,3792621
2010,OTHER,7,732,3792621
2010,OTHER,8,795,3792621
2010,OTHER,9,722,3792621
2010,OTHER,10,649,3792621
2010,OTHER,11,639,3792621
2010,OTHER,12,606,3792621
2010,PROPERTY,11,10170,3792621
2010,PROPERTY,12,11174,3792621
2010,VIOLENT,11,5173,3792621
2010,VIOLENT,12,5207,3792621
2010,PROPERTY,6,10644,3792621
2010,PROPERTY,7,10938,3792621
2010,OTHER,5,779,3792621
2010,PROPERTY,5,10700,3792621
2010,PROPERTY,10,11000,3792621
2010,VIOLENT,9,5622,3792621
2010,PROPERTY,8,10631,3792621
2010,PROPERTY,9,10235,3792621
2010,VIOLENT,7,6142,3792621
2010,VIOLENT,8,5826,3792621
2010,VIOLENT,10,5908,3792621
2010,VIOLENT,6,6264,3792621
2010,VIOLENT,5,6214,3792621
2011,OTHER,5,632,3823316
2011,OTHER,6,698,3823316
2011,OTHER,3,667,3823316
2011,OTHER,4,705,3823316
2011,PROPERTY,3,10431,3823316
2011,PROPERTY,4,10062,3823316
2011,OTHER,7,711,3823316
2011,PROPERTY,6,10723,3823316
2011,PROPERTY,7,10711,3823316
2011,OTHER,1,681,3823316
2011,OTHER,2,587,3823316
2011,PROPERTY,1,11617,3823316
2011,PROPERTY,2,9303,3823316
2011,VIOLENT,1,5592,3823316
2011,VIOLENT,2,4759,3823316
2011,PROPERTY,5,10465,3823316
2011,VIOLENT,4,5639,3823316
2011,VIOLENT,5,5814,3823316
2011,VIOLENT,6,5557,3823316
2011,VIOLENT,7,5816,3823316
2011,VIOLENT,8,5728,3823316
2011,VIOLENT,9,5585,3823316
2011,VIOLENT,10,5813,3823316
2011,VIOLENT,11,5087,3823316
2011,VIOLENT,12,5052,3823316
2011,VIOLENT,3,5807,3823316
2011,OTHER,8,697,3823316
2011,OTHER,9,687,3823316
2011,OTHER,10,683,3823316
2011,OTHER,11,610,3823316
2011,OTHER,12,574,3823316
2011,PROPERTY,11,10680,3823316
2011,PROPERTY,12,11031,3823316
2011,PROPERTY,8,10553,3823316
2011,PROPERTY,9,9939,3823316
2011,PROPERTY,10,10504,3823316
2012,VIOLENT,4,5373,3857799
2012,VIOLENT,1,5266,3857799
