year,Category,month,N,population
2015,VIOLENT,8,770,632309
2015,VIOLENT,9,659,632309
2015,VIOLENT,10,717,632309
2015,VIOLENT,12,672,632309
2015,VIOLENT,5,738,632309
2015,VIOLENT,11,605,632309
2015,VIOLENT,7,671,632309
2015,OTHER,5,414,632309
2015,OTHER,6,378,632309
2015,OTHER,7,388,632309
2015,OTHER,8,427,632309
2015,OTHER,10,359,632309
2015,OTHER,11,313,632309
2015,OTHER,12,307,632309
2015,VIOLENT,6,772,632309
2015,PROPERTY,6,3357,632309
2015,PROPERTY,7,3709,632309
2015,PROPERTY,8,3303,632309
2015,PROPERTY,9,3430,632309
2015,PROPERTY,10,3997,632309
2015,OTHER,9,370,632309
2015,PROPERTY,5,3649,632309
2015,PROPERTY,11,3778,632309
2015,PROPERTY,12,3833,632309
2016,OTHER,1,349,639863
2016,OTHER,2,307,639863
2016,OTHER,8,368,639863
2016,OTHER,9,347,639863
2016,OTHER,6,376,639863
2016,OTHER,7,343,639863
2016,OTHER,12,279,639863
2016,PROPERTY,2,3477,639863
2016,PROPERTY,3,3429,639863
2016,PROPERTY,4,3463,639863
2016,OTHER,3,391,639863
2016,OTHER,4,386,639863
2016,OTHER,5,386,639863
2016,PROPERTY,8,3588,639863
2016,PROPERTY,9,3893,639863
2016,PROPERTY,10,4102,639863
2016,PROPERTY,11,4070,639863
2016,OTHER,10,307,639863
2016,OTHER,11,315,639863
2016,PROPERTY,1,3680,639863
2016,VIOLENT,3,704,639863
2016,VIOLENT,4,721,639863
2016,VIOLENT,5,758,639863
2016,PROPERTY,5,3384,639863
2016,PROPERTY,6,3428,639863
2016,PROPERTY,7,3514,639863
2016,VIOLENT,9,711,639863
2016,VIOLENT,10,715,639863
2016,VIOLENT,11,661,639863
2016,VIOLENT,12,626,639863
2016,PROPERTY,12,4151,639863
2016,VIOLENT,1,722,639863
2016,VIOLENT,2,626,639863
2016,VIOLENT,7,718,639863
2016,VIOLENT,8,801,639863
2016,VIOLENT,6,766,639863
