year,Category,month,N,population
2003,PROPERTY,1,5058,775046
2003,PROPERTY,2,4712,775046
2003,PROPERTY,3,5761,775046
2003,PROPERTY,5,5305,775046
2003,VIOLENT,1,1651,775046
2003,PROPERTY,6,5216,775046
2003,PROPERTY,7,5285,775046
2003,PROPERTY,4,5696,775046
2003,VIOLENT,5,1549,775046
2003,VIOLENT,6,1494,775046
2003,OTHER,1,6247,775046
2003,OTHER,2,5735,775046
2003,OTHER,3,5469,775046
2003,OTHER,4,5560,775046
2003,OTHER,5,5751,775046
2003,OTHER,6,5224,775046
2003,OTHER,7,5552,775046
2003,OTHER,8,5863,775046
2003,VIOLENT,2,1477,775046
2003,VIOLENT,3,1768,775046
2003,VIOLENT,4,1485,775046
2003,OTHER,12,4872,775046
2003,PROPERTY,9,5206,775046
2003,PROPERTY,10,5375,775046
2003,PROPERTY,11,4890,775046
2003,PROPERTY,12,4777,775046
2003,VIOLENT,9,1733,775046
2003,VIOLENT,10,1710,775046
2003,VIOLENT,11,1507,775046
2003,VIOLENT,12,1422,775046
2003,PROPERTY,8,5438,775046
2003,OTHER,11,5430,775046
2003,OTHER,9,5859,775046
2003,OTHER,10,5965,775046
2003,VIOLENT,8,1592,775046
2003,VIOLENT,7,1542,775046
2004,OTHER,10,5480,773284
2004,OTHER,2,5545,773284
2004,OTHER,9,5256,773284
2004,OTHER,1,6283,773284
2004,OTHER,6,5387,773284
2004,OTHER,7,5456,773284
2004,OTHER,8,5546,773284
2004,OTHER,5,6144,773284
2004,PROPERTY,6,5346,773284
2004,OTHER,11,4762,773284
2004,OTHER,12,4860,773284
2004,PROPERTY,5,5548,773284
2004,PROPERTY,10,5103,773284
2004,PROPERTY,11,4877,773284
2004,OTHER,3,6039,773284
2004,OTHER,4,5822,773284
2004,PROPERTY,1,5250,773284
2004,PROPERTY,2,4871,773284
2004,PROPERTY,3,5334,773284
2004,PROPERTY,4,5334,773284
2004,VIOLENT,1,1553,773284
2004,VIOLENT,2,1517,773284
2004,PROPERTY,7,5582,773284
2004,PROPERTY,8,5468,773284
2004,PROPERTY,9,5057,773284
2004,VIOLENT,6,1477,773284
2004,VIOLENT,7,1540,773284
2004,VIOLENT,8,1473,773284
2004,VIOLENT,9,1482,773284
2004,VIOLENT,10,1620,773284
2004,VIOLENT,11,1410,773284
2004,VIOLENT,12,1382,773284
2004,VIOLENT,3,1770,773284
2004,VIOLENT,4,1609,773284
2004,VIOLENT,5,1668,773284
2004,PROPERTY,12,5297,773284
2005,VIOLENT,4,1403,777660
2005,VIOLENT,1,1511,777660
2005,VIOLENT,3,1412,777660
2005,OTHER,2,4772,777660
2005,OTHER,3,5452,777660
2005,VIOLENT,2,1284,777660
2005,OTHER,5,5179,777660
2005,OTHER,6,4845,777660
2005,OTHER,7,4835,777660
2005,OTHER,8,5140,777660
2005,OTHER,9,4885,777660
2005,OTHER,10,5506,777660
2005,OTHER,11,4841,777660
2005,VIOLENT,5,1513,777660
2005,VIOLENT,6,1369,777660
2005,OTHER,1,5257,777660
2005,PROPERTY,11,5326,777660
2005,PROPERTY,12,5151,777660
2005,OTHER,4,5363,777660
2005,PROPERTY,1,5572,777660
2005,PROPERTY,2,4635,777660
2005,PROPERTY,3,5325,777660
2005,PROPERTY,4,5235,777660
2005,PROPERTY,5,5610,777660
2005,PROPERTY,6,5417,777660
2005,PROPERTY,7,5619,777660
2005,OTHER,12,4545,777660
2005,PROPERTY,8,5589,777660
2005,PROPERTY,9,5263,777660
2005,VIOLENT,7,1453,777660
2005,VIOLENT,8,1412,777660
2005,VIOLENT,9,1541,777660
2005,VIOLENT,10,1554,777660
2005,VIOLENT,11,1427,777660
2005,VIOLENT,12,1284,777660
2005,PROPERTY,10,5661,777660
2006,PROPERTY,5,4794,786149
2006,PROPERTY,6,4758,786149
2006,PROPERTY,7,4801,786149
2006,PROPERTY,9,4657,786149
2006,OTHER,1,5551,786149
2006,OTHER,2,4967,786149
2006,PROPERTY,8,5085,786149
2006,OTHER,4,5095,786149
2006,PROPERTY,1,4760,786149
2006,PROPERTY,2,4373,786149
2006,PROPERTY,3,4735,786149
2006,PROPERTY,4,4887,786149
