year,Category,month,N,population
2009,OTHER,8,3,616627
2009,VIOLENT,8,2,616627
2009,PROPERTY,6,1,616627
2009,OTHER,6,3,616627
2009,PROPERTY,12,2,616627
2009,OTHER,10,5,616627
2009,OTHER,11,2,616627
2009,VIOLENT,11,2,616627
2009,VIOLENT,12,1,616627
2009,PROPERTY,10,1,616627
2009,PROPERTY,11,1,616627
2010,VIOLENT,8,6091,608660
2010,VIOLENT,7,3027,608660
2010,VIOLENT,12,3644,608660
2010,VIOLENT,11,4652,608660
2010,PROPERTY,10,4112,608660
2010,PROPERTY,9,3855,608660
2010,OTHER,10,15645,608660
2010,OTHER,11,13368,608660
2010,VIOLENT,9,5621,608660
2010,VIOLENT,10,5212,608660
2010,OTHER,1,14,608660
2010,OTHER,2,1,608660
2010,PROPERTY,6,55,608660
2010,OTHER,3,3,608660
2010,OTHER,4,4,608660
2010,OTHER,5,5,608660
2010,PROPERTY,11,3795,608660
2010,PROPERTY,12,3505,608660
2010,VIOLENT,5,5,608660
2010,VIOLENT,6,17,608660
2010,PROPERTY,1,6,608660
2010,PROPERTY,2,4,608660
2010,OTHER,12,9819,608660
2010,PROPERTY,4,6,608660
2010,PROPERTY,5,19,608660
2010,OTHER,6,7,608660
2010,PROPERTY,7,1988,608660
2010,PROPERTY,8,3992,608660
2010,VIOLENT,1,3,608660
2010,OTHER,7,7660,608660
2010,OTHER,8,16493,608660
2010,OTHER,9,15318,608660
2010,VIOLENT,2,3,608660
2010,VIOLENT,3,3,608660
2010,PROPERTY,3,4,608660
2010,VIOLENT,4,1,608660
2011,PROPERTY,9,3497,621897
2011,OTHER,12,11645,621897
2011,PROPERTY,7,3803,621897
2011,PROPERTY,4,3133,621897
2011,PROPERTY,5,3273,621897
2011,PROPERTY,12,3231,621897
2011,PROPERTY,8,3670,621897
2011,PROPERTY,10,3587,621897
2011,PROPERTY,11,2300,621897
2011,VIOLENT,7,6169,621897
2011,VIOLENT,8,6058,621897
2011,VIOLENT,9,5536,621897
2011,VIOLENT,10,5101,621897
2011,PROPERTY,6,3212,621897
2011,VIOLENT,12,4295,621897
2011,OTHER,2,6830,621897
2011,VIOLENT,1,5167,621897
2011,VIOLENT,2,2341,621897
2011,VIOLENT,3,2625,621897
2011,VIOLENT,4,4400,621897
2011,VIOLENT,5,4872,621897
2011,VIOLENT,6,4836,621897
2011,OTHER,10,11496,621897
2011,OTHER,11,8129,621897
2011,PROPERTY,3,2074,621897
2011,OTHER,3,7295,621897
2011,VIOLENT,11,3026,621897
2011,OTHER,1,15981,621897
2011,OTHER,6,11461,621897
2011,OTHER,7,13164,621897
2011,OTHER,4,12339,621897
2011,OTHER,5,12435,621897
2011,PROPERTY,1,3804,621897
2011,PROPERTY,2,1653,621897
2011,OTHER,8,13314,621897
2011,OTHER,9,12313,621897
2012,PROPERTY,9,3492,634535
2012,OTHER,1,10640,634535
2012,PROPERTY,5,3586,634535
2012,OTHER,2,11931,634535
2012,OTHER,3,13090,634535
2012,OTHER,4,12563,634535
2012,OTHER,5,12755,634535
2012,OTHER,6,13429,634535
2012,OTHER,7,15952,634535
2012,OTHER,8,13760,634535
2012,OTHER,9,12303,634535
2012,OTHER,10,12149,634535
2012,OTHER,11,10923,634535
2012,OTHER,12,10640,634535
2012,PROPERTY,4,3392,634535
2012,VIOLENT,10,4748,634535
2012,PROPERTY,6,3504,634535
2012,PROPERTY,7,4678,634535
2012,PROPERTY,8,3754,634535
2012,VIOLENT,1,4358,634535
2012,PROPERTY,10,3717,634535
2012,PROPERTY,11,3438,634535
2012,PROPERTY,12,3236,634535
2012,VIOLENT,5,5450,634535
2012,VIOLENT,6,5683,634535
2012,VIOLENT,7,8038,634535
2012,VIOLENT,8,6491,634535
2012,VIOLENT,9,5693,634535
2012,VIOLENT,4,5060,634535
2012,VIOLENT,11,4455,634535
2012,VIOLENT,12,4140,634535
2012,PROPERTY,3,3462,634535
2012,VIOLENT,2,4274,634535
2012,VIOLENT,3,4424,634535
2012,PROPERTY,1,3321,634535
2012,PROPERTY,2,3304,634535
2013,OTHER,2,9148,652405
2013,OTHER,10,44,652405
2013,OTHER,1,12053,652405
2013,PROPERTY,1,3779,652405
2013,OTHER,9,9,652405
2013,PROPERTY,9,6,652405
2013,PROPERTY,10,14,652405
2013,OTHER,7,1,652405
2013,OTHER,8,34,652405
2013,VIOLENT,1,4553,652405
2013,VIOLENT,2,3468,652405
2013,VIOLENT,7,1,652405
2013,VIOLENT,8,20,652405
2013,VIOLENT,9,9,652405
2013,VIOLENT,10,21,652405
2013,PROPERTY,2,2620,652405
2013,PROPERTY,7,2,652405
2013,PROPERTY,8,14,652405
2013,VIOLENT,11,380,652405
2013,PROPERTY,11,286,652405
2013,OTHER,11,842,652405
2014,VIOLENT,9,4179,668342
2014,VIOLENT,10,5353,668342
2014,PROPERTY,1,6,668342
2014,PROPERTY,8,2302,668342
2014,VIOLENT,11,4801,668342
2014,OTHER,1,16,668342
2014,OTHER,8,6390,668342
2014,PROPERTY,9,2656,668342
2014,VIOLENT,1,5,668342
2014,VIOLENT,2,4,668342
2014,VIOLENT,8,3812,668342
2014,PROPERTY,12,3279,668342
2014,OTHER,9,6822,668342
2014,VIOLENT,12,4249,668342
2014,PROPERTY,11,3590,668342
2014,OTHER,12,7607,668342
2014,PROPERTY,10,3887,668342
2014,OTHER,11,8870,668342
2014,OTHER,10,9188,668342
2015,PROPERTY,7,4158,684451
2015,PROPERTY,6,3944,684451
2015,PROPERTY,12,4083,684451
2015,PROPERTY,10,3868,684451
2015,PROPERTY,11,3689,684451
2015,VIOLENT,10,5462,684451
2015,VIOLENT,11,4841,684451
2015,PROPERTY,8,3959,684451
2015,PROPERTY,9,3915,684451
2015,VIOLENT,1,4156,684451
2015,VIOLENT,2,4355,684451
2015,VIOLENT,4,4981,684451
2015,VIOLENT,5,5921,684451
2015,VIOLENT,6,6405,684451
2015,OTHER,10,11054,684451
2015,VIOLENT,7,7580,684451
2015,VIOLENT,8,6949,684451
2015,VIOLENT,9,5786,684451
2015,OTHER,1,7765,684451
2015,OTHER,2,7778,684451
2015,VIOLENT,12,4735,684451
2015,OTHER,3,9039,684451
2015,OTHER,4,8901,684451
2015,OTHER,5,9643,684451
2015,VIOLENT,3,5131,684451
2015,OTHER,7,12999,684451
2015,OTHER,8,12664,684451
2015,OTHER,9,11514,684451
2015,OTHER,11,10812,684451
2015,OTHER,12,10767,684451
2015,PROPERTY,4,3765,684451
2015,PROPERTY,5,3949,684451
2015,OTHER,6,10163,684451
2015,PROPERTY,2,3170,684451
2015,PROPERTY,3,3741,684451
2015,PROPERTY,1,3107,684451
2016,OTHER,3,11890,704352
2016,PROPERTY,12,3967,704352
2016,PROPERTY,10,4178,704352
2016,PROPERTY,11,3988,704352
2016,OTHER,12,11040,704352
2016,OTHER,4,11234,704352
2016,OTHER,10,12163,704352
2016,OTHER,11,10989,704352
2016,PROPERTY,6,4055,704352
2016,PROPERTY,7,4155,704352
2016,PROPERTY,8,4137,704352
2016,OTHER,5,12538,704352
2016,OTHER,6,12831,704352
2016,OTHER,7,12530,704352
2016,OTHER,8,12507,704352
2016,OTHER,9,12103,704352
2016,PROPERTY,1,3876,704352
2016,PROPERTY,2,3387,704352
2016,PROPERTY,3,3896,704352
2016,PROPERTY,4,3587,704352
2016,PROPERTY,5,4111,704352
2016,VIOLENT,10,5590,704352
2016,VIOLENT,11,5299,704352
2016,VIOLENT,12,4750,704352
2016,PROPERTY,9,3972,704352
2016,VIOLENT,1,4797,704352
2016,VIOLENT,2,4193,704352
2016,VIOLENT,3,5421,704352
2016,VIOLENT,4,5169,704352
2016,VIOLENT,5,6139,704352
2016,VIOLENT,6,6216,704352
2016,VIOLENT,7,7424,704352
2016,VIOLENT,8,6458,704352
2016,VIOLENT,9,5868,704352
2016,OTHER,1,10449,704352
2016,OTHER,2,9699,704352
