Category,year,month,N
PROPERTY CRIMES,2001,1,15933
PROPERTY CRIMES,2001,2,13869
PROPERTY CRIMES,2001,3,16496
PROPERTY CRIMES,2001,4,16811
PROPERTY CRIMES,2001,5,17543
PROPERTY CRIMES,2001,6,17843
PROPERTY CRIMES,2001,7,19913
PROPERTY CRIMES,2001,8,19593
PROPERTY CRIMES,2001,9,18446
PROPERTY CRIMES,2001,10,19781
PROPERTY CRIMES,2001,11,17553
PROPERTY CRIMES,2001,12,16100
PROPERTY CRIMES,2002,1,15317
PROPERTY CRIMES,2002,2,13037
PROPERTY CRIMES,2002,3,14961
PROPERTY CRIMES,2002,4,15763
PROPERTY CRIMES,2002,5,17192
PROPERTY CRIMES,2002,6,17377
PROPERTY CRIMES,2002,7,19611
PROPERTY CRIMES,2002,8,19218
PROPERTY CRIMES,2002,9,18218
PROPERTY CRIMES,2002,10,18377
PROPERTY CRIMES,2002,11,15572
PROPERTY CRIMES,2002,12,16250
PROPERTY CRIMES,2003,1,15009
PROPERTY CRIMES,2003,2,13140
PROPERTY CRIMES,2003,3,16026
PROPERTY CRIMES,2003,4,17093
PROPERTY CRIMES,2003,5,17141
PROPERTY CRIMES,2003,6,17032
PROPERTY CRIMES,2003,7,19315
PROPERTY CRIMES,2003,8,19219
PROPERTY CRIMES,2003,9,17868
PROPERTY CRIMES,2003,10,18184
PROPERTY CRIMES,2003,11,16629
PROPERTY CRIMES,2003,12,15779
PROPERTY CRIMES,2004,1,13781
PROPERTY CRIMES,2004,2,12991
PROPERTY CRIMES,2004,3,15945
PROPERTY CRIMES,2004,4,15426
PROPERTY CRIMES,2004,5,16472
PROPERTY CRIMES,2004,6,17481
PROPERTY CRIMES,2004,7,19449
PROPERTY CRIMES,2004,8,19306
PROPERTY CRIMES,2004,9,17344
PROPERTY CRIMES,2004,10,17850
PROPERTY CRIMES,2004,11,16032
PROPERTY CRIMES,2004,12,14660
PROPERTY CRIMES,2005,1,12959
PROPERTY CRIMES,2005,2,12246
PROPERTY CRIMES,2005,3,14663
PROPERTY CRIMES,2005,4,15568
PROPERTY CRIMES,2005,5,16460
PROPERTY CRIMES,2005,6,16425
PROPERTY CRIMES,2005,7,17951
PROPERTY CRIMES,2005,8,17794
PROPERTY CRIMES,2005,9,16684
PROPERTY CRIMES,2005,10,17703
PROPERTY CRIMES,2005,11,16016
PROPERTY CRIMES,2005,12,13674
PROPERTY CRIMES,2006,1,15815
PROPERTY CRIMES,2006,2,12950
PROPERTY CRIMES,2006,3,15309
PROPERTY CRIMES,2006,4,15049
PROPERTY CRIMES,2006,5,16269
PROPERTY CRIMES,2006,6,16447
PROPERTY CRIMES,2006,7,17924
PROPERTY CRIMES,2006,8,17929
PROPERTY CRIMES,2006,9,16183
PROPERTY CRIMES,2006,10,16652
PROPERTY CRIMES,2006,11,15168
PROPERTY CRIMES,2006,12,14549
PROPERTY CRIMES,2007,1,13950
PROPERTY CRIMES,2007,2,10310
PROPERTY CRIMES,2007,3,14478
PROPERTY CRIMES,2007,4,14633
PROPERTY CRIMES,2007,5,16565
PROPERTY CRIMES,2007,6,16290
PROPERTY CRIMES,2007,7,17526
PROPERTY CRIMES,2007,8,17292
PROPERTY CRIMES,2007,9,15950
PROPERTY CRIMES,2007,10,17521
PROPERTY CRIMES,2007,11,15359
PROPERTY CRIMES,2007,12,13710
PROPERTY CRIMES,2008,1,14027
PROPERTY CRIMES,2008,2,11257
PROPERTY CRIMES,2008,3,14223
PROPERTY CRIMES,2008,4,14860
PROPERTY CRIMES,2008,5,16179
PROPERTY CRIMES,2008,6,16457
PROPERTY CRIMES,2008,7,18198
PROPERTY CRIMES,2008,8,17816
PROPERTY CRIMES,2008,9,16556
PROPERTY CRIMES,2008,10,17118
PROPERTY CRIMES,2008,11,14896
PROPERTY CRIMES,2008,12,13202
PROPERTY CRIMES,2009,1,12119
PROPERTY CRIMES,2009,2,11366
PROPERTY CRIMES,2009,3,13724
PROPERTY CRIMES,2009,4,13793
PROPERTY CRIMES,2009,5,14822
PROPERTY CRIMES,2009,6,14625
PROPERTY CRIMES,2009,7,16158
PROPERTY CRIMES,2009,8,16035
PROPERTY CRIMES,2009,9,15017
PROPERTY CRIMES,2009,10,14978
PROPERTY CRIMES,2009,11,14331
PROPERTY CRIMES,2009,12,12745
PROPERTY CRIMES,2010,1,12430
PROPERTY CRIMES,2010,2,9892
PROPERTY CRIMES,2010,3,13292
PROPERTY CRIMES,2010,4,13551
PROPERTY CRIMES,2010,5,14565
PROPERTY CRIMES,2010,6,14343
PROPERTY CRIMES,2010,7,14892
PROPERTY CRIMES,2010,8,15716
PROPERTY CRIMES,2010,9,14736
PROPERTY CRIMES,2010,10,15016
PROPERTY CRIMES,2010,11,13348
PROPERTY CRIMES,2010,12,11798
PROPERTY CRIMES,2011,1,11962
PROPERTY CRIMES,2011,2,9541
PROPERTY CRIMES,2011,3,12175
PROPERTY CRIMES,2011,4,13089
PROPERTY CRIMES,2011,5,14418
PROPERTY CRIMES,2011,6,14819
PROPERTY CRIMES,2011,7,15222
PROPERTY CRIMES,2011,8,15017
PROPERTY CRIMES,2011,9,13721
PROPERTY CRIMES,2011,10,14000
PROPERTY CRIMES,2011,11,12997
PROPERTY CRIMES,2011,12,12583
PROPERTY CRIMES,2012,1,11648
PROPERTY CRIMES,2012,2,9857
PROPERTY CRIMES,2012,3,12181
PROPERTY CRIMES,2012,4,12346
PROPERTY CRIMES,2012,5,13199
PROPERTY CRIMES,2012,6,14192
PROPERTY CRIMES,2012,7,14466
PROPERTY CRIMES,2012,8,13777
PROPERTY CRIMES,2012,9,12904
PROPERTY CRIMES,2012,10,12891
PROPERTY CRIMES,2012,11,12290
PROPERTY CRIMES,2012,12,11842
PROPERTY CRIMES,2013,1,11080
PROPERTY CRIMES,2013,2,8883
PROPERTY CRIMES,2013,3,10258
PROPERTY CRIMES,2013,4,10626
PROPERTY CRIMES,2013,5,11754
PROPERTY CRIMES,2013,6,11698
PROPERTY CRIMES,2013,7,12603
PROPERTY CRIMES,2013,8,12897
PROPERTY CRIMES,2013,9,11815
PROPERTY CRIMES,2013,10,11349
PROPERTY CRIMES,2013,11,10521
PROPERTY CRIMES,2013,12,9655
PROPERTY CRIMES,2014,1,8217
PROPERTY CRIMES,2014,2,7224
PROPERTY CRIMES,2014,3,8712
PROPERTY CRIMES,2014,4,9046
PROPERTY CRIMES,2014,5,9817
PROPERTY CRIMES,2014,6,10392
PROPERTY CRIMES,2014,7,11248
PROPERTY CRIMES,2014,8,10705
PROPERTY CRIMES,2014,9,9886
PROPERTY CRIMES,2014,10,10195
PROPERTY CRIMES,2014,11,8666
PROPERTY CRIMES,2014,12,8963
PROPERTY CRIMES,2015,1,8145
PROPERTY CRIMES,2015,2,5976
PROPERTY CRIMES,2015,3,8114
PROPERTY CRIMES,2015,4,8665
PROPERTY CRIMES,2015,5,9470
PROPERTY CRIMES,2015,6,9551
PROPERTY CRIMES,2015,7,10311
PROPERTY CRIMES,2015,8,10577
PROPERTY CRIMES,2015,9,9772
PROPERTY CRIMES,2015,10,9900
PROPERTY CRIMES,2015,11,9034
PROPERTY CRIMES,2015,12,9696
PROPERTY CRIMES,2016,1,8752
PROPERTY CRIMES,2016,2,7375
PROPERTY CRIMES,2016,3,8212
PROPERTY CRIMES,2016,4,8088
PROPERTY CRIMES,2016,5,9530
PROPERTY CRIMES,2016,6,9728
PROPERTY CRIMES,2016,7,10839
PROPERTY CRIMES,2016,8,11028
PROPERTY CRIMES,2016,9,10666
PROPERTY CRIMES,2016,10,10539
PROPERTY CRIMES,2016,11,9893
PROPERTY CRIMES,2016,12,9091
PROPERTY CRIMES,2017,1,9576
PROPERTY CRIMES,2017,2,8130
PROPERTY CRIMES,2017,3,8237
PROPERTY CRIMES,2017,4,8815
PROPERTY CRIMES,2017,5,9506
PROPERTY CRIMES,2017,6,10148
PROPERTY CRIMES,2017,7,10733
PROPERTY CRIMES,2017,8,10965
PROPERTY CRIMES,2017,9,9653
PROPERTY CRIMES,2017,10,8942
QUALITY OF LIFE CRIMES,2001,1,11417
QUALITY OF LIFE CRIMES,2001,2,10145
QUALITY OF LIFE CRIMES,2001,3,11537
QUALITY OF LIFE CRIMES,2001,4,10238
QUALITY OF LIFE CRIMES,2001,5,10312
QUALITY OF LIFE CRIMES,2001,6,10106
QUALITY OF LIFE CRIMES,2001,7,10125
QUALITY OF LIFE CRIMES,2001,8,10595
QUALITY OF LIFE CRIMES,2001,9,9754
QUALITY OF LIFE CRIMES,2001,10,10087
QUALITY OF LIFE CRIMES,2001,11,10330
QUALITY OF LIFE CRIMES,2001,12,9759
QUALITY OF LIFE CRIMES,2002,1,10802
QUALITY OF LIFE CRIMES,2002,2,10299
QUALITY OF LIFE CRIMES,2002,3,10780
QUALITY OF LIFE CRIMES,2002,4,10958
QUALITY OF LIFE CRIMES,2002,5,11095
QUALITY OF LIFE CRIMES,2002,6,10081
QUALITY OF LIFE CRIMES,2002,7,10327
QUALITY OF LIFE CRIMES,2002,8,10379
QUALITY OF LIFE CRIMES,2002,9,9535
QUALITY OF LIFE CRIMES,2002,10,10653
QUALITY OF LIFE CRIMES,2002,11,9509
QUALITY OF LIFE CRIMES,2002,12,10280
QUALITY OF LIFE CRIMES,2003,1,11181
QUALITY OF LIFE CRIMES,2003,2,10282
QUALITY OF LIFE CRIMES,2003,3,10972
QUALITY OF LIFE CRIMES,2003,4,10755
QUALITY OF LIFE CRIMES,2003,5,10868
QUALITY OF LIFE CRIMES,2003,6,9967
QUALITY OF LIFE CRIMES,2003,7,10415
QUALITY OF LIFE CRIMES,2003,8,11239
QUALITY OF LIFE CRIMES,2003,9,11072
QUALITY OF LIFE CRIMES,2003,10,12309
QUALITY OF LIFE CRIMES,2003,11,10778
QUALITY OF LIFE CRIMES,2003,12,9965
QUALITY OF LIFE CRIMES,2004,1,11269
QUALITY OF LIFE CRIMES,2004,2,11196
QUALITY OF LIFE CRIMES,2004,3,11956
QUALITY OF LIFE CRIMES,2004,4,11360
QUALITY OF LIFE CRIMES,2004,5,11210
QUALITY OF LIFE CRIMES,2004,6,10650
QUALITY OF LIFE CRIMES,2004,7,10941
QUALITY OF LIFE CRIMES,2004,8,11596
QUALITY OF LIFE CRIMES,2004,9,11409
QUALITY OF LIFE CRIMES,2004,10,11631
QUALITY OF LIFE CRIMES,2004,11,10795
QUALITY OF LIFE CRIMES,2004,12,10057
QUALITY OF LIFE CRIMES,2005,1,11187
QUALITY OF LIFE CRIMES,2005,2,10708
QUALITY OF LIFE CRIMES,2005,3,11739
QUALITY OF LIFE CRIMES,2005,4,11474
QUALITY OF LIFE CRIMES,2005,5,11380
QUALITY OF LIFE CRIMES,2005,6,10826
QUALITY OF LIFE CRIMES,2005,7,10997
QUALITY OF LIFE CRIMES,2005,8,11398
QUALITY OF LIFE CRIMES,2005,9,10759
QUALITY OF LIFE CRIMES,2005,10,10677
QUALITY OF LIFE CRIMES,2005,11,10069
QUALITY OF LIFE CRIMES,2005,12,9558
QUALITY OF LIFE CRIMES,2006,1,10933
QUALITY OF LIFE CRIMES,2006,2,9451
QUALITY OF LIFE CRIMES,2006,3,11004
QUALITY OF LIFE CRIMES,2006,4,10556
QUALITY OF LIFE CRIMES,2006,5,11260
QUALITY OF LIFE CRIMES,2006,6,10782
QUALITY OF LIFE CRIMES,2006,7,11107
QUALITY OF LIFE CRIMES,2006,8,11391
QUALITY OF LIFE CRIMES,2006,9,10693
QUALITY OF LIFE CRIMES,2006,10,11023
QUALITY OF LIFE CRIMES,2006,11,10537
QUALITY OF LIFE CRIMES,2006,12,9977
QUALITY OF LIFE CRIMES,2007,1,11083
QUALITY OF LIFE CRIMES,2007,2,9292
QUALITY OF LIFE CRIMES,2007,3,11194
QUALITY OF LIFE CRIMES,2007,4,10673
QUALITY OF LIFE CRIMES,2007,5,11077
QUALITY OF LIFE CRIMES,2007,6,10666
QUALITY OF LIFE CRIMES,2007,7,11187
QUALITY OF LIFE CRIMES,2007,8,11308
QUALITY OF LIFE CRIMES,2007,9,10742
QUALITY OF LIFE CRIMES,2007,10,10770
QUALITY OF LIFE CRIMES,2007,11,9697
QUALITY OF LIFE CRIMES,2007,12,8924
QUALITY OF LIFE CRIMES,2008,1,9957
QUALITY OF LIFE CRIMES,2008,2,8897
QUALITY OF LIFE CRIMES,2008,3,9645
QUALITY OF LIFE CRIMES,2008,4,9506
QUALITY OF LIFE CRIMES,2008,5,9694
QUALITY OF LIFE CRIMES,2008,6,9098
QUALITY OF LIFE CRIMES,2008,7,10025
QUALITY OF LIFE CRIMES,2008,8,10651
QUALITY OF LIFE CRIMES,2008,9,9564
QUALITY OF LIFE CRIMES,2008,10,9957
QUALITY OF LIFE CRIMES,2008,11,9025
QUALITY OF LIFE CRIMES,2008,12,7784
QUALITY OF LIFE CRIMES,2009,1,9243
QUALITY OF LIFE CRIMES,2009,2,8580
QUALITY OF LIFE CRIMES,2009,3,9697
QUALITY OF LIFE CRIMES,2009,4,9032
QUALITY OF LIFE CRIMES,2009,5,9290
QUALITY OF LIFE CRIMES,2009,6,8933
QUALITY OF LIFE CRIMES,2009,7,8768
QUALITY OF LIFE CRIMES,2009,8,9198
QUALITY OF LIFE CRIMES,2009,9,8925
QUALITY OF LIFE CRIMES,2009,10,8894
QUALITY OF LIFE CRIMES,2009,11,8367
QUALITY OF LIFE CRIMES,2009,12,7553
QUALITY OF LIFE CRIMES,2010,1,8941
QUALITY OF LIFE CRIMES,2010,2,8378
QUALITY OF LIFE CRIMES,2010,3,9740
QUALITY OF LIFE CRIMES,2010,4,8809
QUALITY OF LIFE CRIMES,2010,5,8760
QUALITY OF LIFE CRIMES,2010,6,8299
QUALITY OF LIFE CRIMES,2010,7,8474
QUALITY OF LIFE CRIMES,2010,8,8627
QUALITY OF LIFE CRIMES,2010,9,8299
QUALITY OF LIFE CRIMES,2010,10,8286
QUALITY OF LIFE CRIMES,2010,11,7335
QUALITY OF LIFE CRIMES,2010,12,6678
QUALITY OF LIFE CRIMES,2011,1,7831
QUALITY OF LIFE CRIMES,2011,2,6576
QUALITY OF LIFE CRIMES,2011,3,8422
QUALITY OF LIFE CRIMES,2011,4,7793
QUALITY OF LIFE CRIMES,2011,5,7774
QUALITY OF LIFE CRIMES,2011,6,8042
QUALITY OF LIFE CRIMES,2011,7,8084
QUALITY OF LIFE CRIMES,2011,8,8478
QUALITY OF LIFE CRIMES,2011,9,7981
QUALITY OF LIFE CRIMES,2011,10,7706
QUALITY OF LIFE CRIMES,2011,11,7264
QUALITY OF LIFE CRIMES,2011,12,7037
QUALITY OF LIFE CRIMES,2012,1,7468
QUALITY OF LIFE CRIMES,2012,2,7722
QUALITY OF LIFE CRIMES,2012,3,8009
QUALITY OF LIFE CRIMES,2012,4,7195
QUALITY OF LIFE CRIMES,2012,5,7442
QUALITY OF LIFE CRIMES,2012,6,7491
QUALITY OF LIFE CRIMES,2012,7,7832
