Category,year,month,N
PROPERTY CRIMES,2011,1,3713
PROPERTY CRIMES,2011,2,2482
PROPERTY CRIMES,2011,3,3632
PROPERTY CRIMES,2011,4,3933
PROPERTY CRIMES,2011,5,4124
PROPERTY CRIMES,2011,6,4145
PROPERTY CRIMES,2011,7,4564
PROPERTY CRIMES,2011,8,4311
PROPERTY CRIMES,2011,9,4299
PROPERTY CRIMES,2011,10,4339
PROPERTY CRIMES,2011,11,4131
PROPERTY CRIMES,2011,12,4279
PROPERTY CRIMES,2012,1,3751
PROPERTY CRIMES,2012,2,3159
PROPERTY CRIMES,2012,3,3457
PROPERTY CRIMES,2012,4,3682
PROPERTY CRIMES,2012,5,3980
PROPERTY CRIMES,2012,6,3908
PROPERTY CRIMES,2012,7,4122
PROPERTY CRIMES,2012,8,4056
PROPERTY CRIMES,2012,9,4165
PROPERTY CRIMES,2012,10,4398
PROPERTY CRIMES,2012,11,3837
PROPERTY CRIMES,2012,12,3737
PROPERTY CRIMES,2013,1,3528
PROPERTY CRIMES,2013,2,2785
PROPERTY CRIMES,2013,3,3610
PROPERTY CRIMES,2013,4,3664
PROPERTY CRIMES,2013,5,4012
PROPERTY CRIMES,2013,6,3880
PROPERTY CRIMES,2013,7,4086
PROPERTY CRIMES,2013,8,3951
PROPERTY CRIMES,2013,9,3555
PROPERTY CRIMES,2013,10,3853
PROPERTY CRIMES,2013,11,3548
PROPERTY CRIMES,2013,12,3271
PROPERTY CRIMES,2014,1,2800
PROPERTY CRIMES,2014,2,2235
PROPERTY CRIMES,2014,3,2926
PROPERTY CRIMES,2014,4,3173
PROPERTY CRIMES,2014,5,3176
PROPERTY CRIMES,2014,6,3090
PROPERTY CRIMES,2014,7,3251
PROPERTY CRIMES,2014,8,3337
PROPERTY CRIMES,2014,9,3223
PROPERTY CRIMES,2014,10,3143
PROPERTY CRIMES,2014,11,2772
PROPERTY CRIMES,2014,12,3023
VIOLENT CRIMES,2011,1,1095
VIOLENT CRIMES,2011,2,846
VIOLENT CRIMES,2011,3,1158
VIOLENT CRIMES,2011,4,1250
VIOLENT CRIMES,2011,5,1475
VIOLENT CRIMES,2011,6,1566
VIOLENT CRIMES,2011,7,1590
VIOLENT CRIMES,2011,8,1539
VIOLENT CRIMES,2011,9,1264
VIOLENT CRIMES,2011,10,1260
VIOLENT CRIMES,2011,11,1214
VIOLENT CRIMES,2011,12,1315
VIOLENT CRIMES,2012,1,1076
VIOLENT CRIMES,2012,2,983
VIOLENT CRIMES,2012,3,1165
VIOLENT CRIMES,2012,4,1271
VIOLENT CRIMES,2012,5,1423
VIOLENT CRIMES,2012,6,1413
VIOLENT CRIMES,2012,7,1632
VIOLENT CRIMES,2012,8,1544
VIOLENT CRIMES,2012,9,1294
VIOLENT CRIMES,2012,10,1303
VIOLENT CRIMES,2012,11,1218
VIOLENT CRIMES,2012,12,1162
VIOLENT CRIMES,2013,1,1063
VIOLENT CRIMES,2013,2,868
VIOLENT CRIMES,2013,3,946
VIOLENT CRIMES,2013,4,1061
VIOLENT CRIMES,2013,5,1406
VIOLENT CRIMES,2013,6,1485
VIOLENT CRIMES,2013,7,1435
VIOLENT CRIMES,2013,8,1562
VIOLENT CRIMES,2013,9,1398
VIOLENT CRIMES,2013,10,1251
VIOLENT CRIMES,2013,11,1057
VIOLENT CRIMES,2013,12,1052
VIOLENT CRIMES,2014,1,923
VIOLENT CRIMES,2014,2,769
VIOLENT CRIMES,2014,3,961
VIOLENT CRIMES,2014,4,1091
VIOLENT CRIMES,2014,5,1281
VIOLENT CRIMES,2014,6,1257
VIOLENT CRIMES,2014,7,1375
VIOLENT CRIMES,2014,8,1466
VIOLENT CRIMES,2014,9,1302
VIOLENT CRIMES,2014,10,1256
VIOLENT CRIMES,2014,11,1029
VIOLENT CRIMES,2014,12,1077
