year,Category,month,N,population
2009,OTHER,1,3351,910921
2009,OTHER,2,3436,910921
2009,OTHER,3,3867,910921
2009,OTHER,4,3568,910921
2009,OTHER,5,3776,910921
2009,OTHER,6,3554,910921
2009,OTHER,7,4032,910921
2009,OTHER,8,3594,910921
2009,OTHER,9,3928,910921
2009,OTHER,10,3913,910921
2009,OTHER,11,3653,910921
2009,OTHER,12,3469,910921
2009,PROPERTY,10,7403,910921
2009,PROPERTY,11,6962,910921
2009,PROPERTY,12,6419,910921
2009,VIOLENT,10,5092,910921
2009,PROPERTY,1,5698,910921
2009,PROPERTY,2,5009,910921
2009,PROPERTY,3,6387,910921
2009,PROPERTY,4,6539,910921
2009,PROPERTY,5,6447,910921
2009,PROPERTY,6,6501,910921
2009,PROPERTY,7,7200,910921
2009,PROPERTY,8,7154,910921
2009,PROPERTY,9,6860,910921
2009,VIOLENT,7,5572,910921
2009,VIOLENT,8,5489,910921
2009,VIOLENT,9,5302,910921
2009,VIOLENT,1,4148,910921
2009,VIOLENT,11,4708,910921
2009,VIOLENT,12,4480,910921
2009,VIOLENT,4,4829,910921
2009,VIOLENT,5,5380,910921
2009,VIOLENT,2,3812,910921
2009,VIOLENT,3,4750,910921
2009,VIOLENT,6,5399,910921
2010,PROPERTY,4,6283,713777
2010,OTHER,4,3340,713777
2010,OTHER,1,3496,713777
2010,OTHER,2,3225,713777
2010,OTHER,3,3555,713777
2010,PROPERTY,1,5941,713777
2010,PROPERTY,2,4441,713777
2010,PROPERTY,3,5815,713777
2010,VIOLENT,1,4581,713777
2010,VIOLENT,2,3818,713777
2010,VIOLENT,3,5009,713777
2010,VIOLENT,4,4993,713777
2010,VIOLENT,5,5387,713777
2010,VIOLENT,6,5076,713777
2010,VIOLENT,7,5251,713777
2010,VIOLENT,8,5080,713777
2010,VIOLENT,9,4712,713777
2010,VIOLENT,10,4869,713777
2010,VIOLENT,11,4300,713777
2010,VIOLENT,12,3815,713777
2010,OTHER,5,3275,713777
2010,OTHER,6,3427,713777
2010,OTHER,7,3582,713777
2010,OTHER,8,3459,713777
2010,OTHER,9,3150,713777
2010,OTHER,10,3410,713777
2010,OTHER,11,2993,713777
2010,OTHER,12,2939,713777
2010,PROPERTY,10,6494,713777
2010,PROPERTY,11,6175,713777
2010,PROPERTY,12,5835,713777
2010,PROPERTY,8,6726,713777
2010,PROPERTY,5,6414,713777
2010,PROPERTY,6,6460,713777
2010,PROPERTY,7,6942,713777
2010,PROPERTY,9,6331,713777
2011,OTHER,4,3434,706201
2011,OTHER,6,2882,706201
2011,OTHER,7,3010,706201
2011,OTHER,8,3510,706201
2011,OTHER,5,3448,706201
2011,OTHER,1,2838,706201
2011,OTHER,2,2710,706201
2011,OTHER,3,3316,706201
2011,PROPERTY,1,5345,706201
2011,PROPERTY,2,3817,706201
2011,PROPERTY,3,5289,706201
2011,PROPERTY,4,5844,706201
2011,PROPERTY,5,5977,706201
2011,PROPERTY,6,5906,706201
2011,PROPERTY,7,6416,706201
2011,PROPERTY,8,6056,706201
2011,PROPERTY,9,5880,706201
2011,PROPERTY,10,6089,706201
2011,PROPERTY,11,5782,706201
2011,PROPERTY,12,5955,706201
2011,VIOLENT,10,4308,706201
2011,VIOLENT,11,4056,706201
2011,VIOLENT,12,4005,706201
2011,VIOLENT,4,4399,706201
2011,VIOLENT,1,3893,706201
2011,VIOLENT,2,3449,706201
2011,VIOLENT,3,4187,706201
2011,VIOLENT,8,4835,706201
2011,VIOLENT,5,4851,706201
2011,VIOLENT,6,4740,706201
2011,VIOLENT,7,5056,706201
2011,OTHER,12,2918,706201
2011,VIOLENT,9,4165,706201
2011,OTHER,10,3145,706201
2011,OTHER,11,2688,706201
2011,OTHER,9,3049,706201
2012,PROPERTY,4,5628,701475
2012,PROPERTY,1,5587,701475
2012,PROPERTY,2,4994,701475
2012,PROPERTY,3,5376,701475
2012,VIOLENT,1,3937,701475
2012,VIOLENT,2,3901,701475
2012,VIOLENT,3,4386,701475
2012,VIOLENT,4,4254,701475
2012,OTHER,1,2972,701475
2012,OTHER,2,2908,701475
2012,OTHER,3,3428,701475
2012,OTHER,4,3055,701475
2012,OTHER,5,3442,701475
2012,OTHER,6,3225,701475
2012,OTHER,7,3029,701475
2012,OTHER,8,3079,701475
2012,OTHER,9,2730,701475
2012,OTHER,10,3079,701475
2012,OTHER,11,2783,701475
2012,OTHER,12,2726,701475
2012,PROPERTY,10,6257,701475
2012,PROPERTY,11,5481,701475
2012,PROPERTY,12,5324,701475
2012,VIOLENT,10,4209,701475
2012,VIOLENT,11,3798,701475
2012,VIOLENT,12,3721,701475
2012,PROPERTY,7,5980,701475
2012,PROPERTY,8,5893,701475
2012,PROPERTY,5,5820,701475
2012,PROPERTY,6,5781,701475
2012,VIOLENT,8,4786,701475
2012,VIOLENT,9,4129,701475
2012,PROPERTY,9,5853,701475
2012,VIOLENT,7,5057,701475
2012,VIOLENT,5,4846,701475
2012,VIOLENT,6,4679,701475
2013,OTHER,7,3701,688701
2013,OTHER,8,3790,688701
2013,OTHER,6,3626,688701
2013,PROPERTY,4,5437,688701
2013,OTHER,4,3681,688701
2013,OTHER,5,4321,688701
2013,PROPERTY,7,5856,688701
2013,PROPERTY,8,5654,688701
2013,PROPERTY,5,5770,688701
2013,PROPERTY,6,5590,688701
2013,OTHER,1,3052,688701
2013,OTHER,2,3105,688701
2013,OTHER,3,3958,688701
2013,PROPERTY,1,5085,688701
2013,PROPERTY,2,4333,688701
2013,PROPERTY,3,5240,688701
2013,VIOLENT,1,3296,688701
2013,VIOLENT,2,2694,688701
2013,VIOLENT,3,3218,688701
2013,VIOLENT,4,3469,688701
2013,VIOLENT,5,3984,688701
2013,VIOLENT,6,3772,688701
2013,VIOLENT,7,3808,688701
2013,VIOLENT,8,3794,688701
2013,VIOLENT,9,3578,688701
2013,VIOLENT,10,3099,688701
2013,VIOLENT,11,2554,688701
2013,VIOLENT,12,2516,688701
2013,OTHER,9,3458,688701
2013,OTHER,10,4072,688701
2013,OTHER,11,3665,688701
2013,OTHER,12,3470,688701
2013,PROPERTY,10,5557,688701
2013,PROPERTY,11,5023,688701
2013,PROPERTY,12,4573,688701
2013,PROPERTY,9,5109,688701
2014,VIOLENT,4,2783,680250
2014,VIOLENT,2,2139,680250
2014,VIOLENT,3,2639,680250
2014,OTHER,4,4298,680250
2014,VIOLENT,1,2252,680250
2014,OTHER,6,3964,680250
2014,OTHER,7,4251,680250
2014,OTHER,8,4011,680250
2014,OTHER,5,4027,680250
2014,OTHER,10,4385,680250
2014,OTHER,11,3868,680250
2014,OTHER,12,3706,680250
2014,OTHER,9,3961,680250
2014,OTHER,1,3795,680250
2014,OTHER,2,3600,680250
2014,OTHER,3,4253,680250
2014,PROPERTY,1,4173,680250
2014,PROPERTY,2,3507,680250
2014,PROPERTY,3,4467,680250
2014,PROPERTY,4,4716,680250
2014,PROPERTY,5,4826,680250
2014,PROPERTY,6,4610,680250
2014,PROPERTY,7,4965,680250
2014,PROPERTY,8,4958,680250
2014,PROPERTY,9,4902,680250
2014,PROPERTY,10,4858,680250
2014,PROPERTY,11,4271,680250
2014,PROPERTY,12,4757,680250
2014,VIOLENT,10,3010,680250
2014,VIOLENT,11,2617,680250
2014,VIOLENT,12,2596,680250
2014,VIOLENT,8,3234,680250
2014,VIOLENT,5,3112,680250
2014,VIOLENT,6,3017,680250
2014,VIOLENT,7,3147,680250
2014,VIOLENT,9,2953,680250
2015,PROPERTY,4,4213,677116
2015,PROPERTY,6,4244,677116
2015,PROPERTY,7,4599,677116
2015,PROPERTY,8,4746,677116
2015,PROPERTY,5,4485,677116
2015,PROPERTY,1,3948,677116
2015,PROPERTY,2,3194,677116
2015,PROPERTY,3,4235,677116
2015,VIOLENT,1,2463,677116
2015,VIOLENT,2,2044,677116
2015,VIOLENT,3,2610,677116
2015,VIOLENT,4,2845,677116
2015,VIOLENT,5,3186,677116
2015,VIOLENT,6,3167,677116
2015,VIOLENT,7,3234,677116
2015,VIOLENT,8,3211,677116
2015,OTHER,1,3671,677116
2015,OTHER,2,3532,677116
2015,OTHER,3,4729,677116
2015,OTHER,4,4562,677116
2015,OTHER,5,4519,677116
2015,OTHER,6,4459,677116
2015,OTHER,7,4763,677116
2015,OTHER,8,4382,677116
2015,OTHER,9,4290,677116
2015,OTHER,10,4492,677116
2015,OTHER,11,4020,677116
2015,OTHER,12,4049,677116
2015,PROPERTY,10,4886,677116
2015,PROPERTY,11,4498,677116
2015,PROPERTY,12,4624,677116
2015,VIOLENT,10,2703,677116
2015,VIOLENT,11,2522,677116
2015,VIOLENT,12,2506,677116
2015,VIOLENT,9,2936,677116
2015,PROPERTY,9,4477,677116
2016,OTHER,7,4125,672795
2016,OTHER,10,4328,672795
2016,OTHER,11,4190,672795
2016,OTHER,8,4304,672795
2016,OTHER,9,3934,672795
2016,OTHER,1,4215,672795
2016,OTHER,2,4207,672795
2016,OTHER,4,4571,672795
2016,OTHER,5,4704,672795
2016,OTHER,6,4428,672795
2016,PROPERTY,4,4114,672795
2016,PROPERTY,5,4114,672795
2016,PROPERTY,6,3985,672795
2016,PROPERTY,7,4732,672795
2016,PROPERTY,8,4644,672795
2016,PROPERTY,9,4186,672795
2016,PROPERTY,10,3902,672795
2016,PROPERTY,11,4121,672795
2016,OTHER,3,4830,672795
2016,PROPERTY,1,4004,672795
2016,PROPERTY,2,3365,672795
2016,PROPERTY,3,4080,672795
2016,VIOLENT,1,2316,672795
2016,VIOLENT,2,2205,672795
2016,VIOLENT,3,2725,672795
2016,VIOLENT,4,2765,672795
2016,VIOLENT,5,3149,672795
2016,VIOLENT,6,2968,672795
2016,VIOLENT,7,3335,672795
2016,VIOLENT,8,3034,672795
2016,VIOLENT,9,2734,672795
2016,VIOLENT,10,2515,672795
2016,VIOLENT,11,2607,672795
