year,Category,month,N,population
2015,PROPERTY,9,599,352769
2015,PROPERTY,10,3034,352769
2015,PROPERTY,11,2993,352769
2015,PROPERTY,12,3106,352769
2016,PROPERTY,1,3029,1317929
2016,PROPERTY,1,3029,351792
2016,PROPERTY,2,2728,1317929
2016,PROPERTY,2,2728,351792
2016,PROPERTY,3,2835,1317929
2016,PROPERTY,3,2835,351792
2016,PROPERTY,4,2385,1317929
2016,PROPERTY,4,2385,351792
2016,PROPERTY,5,1514,1317929
2016,PROPERTY,5,1514,351792
2016,PROPERTY,6,2119,1317929
2016,PROPERTY,6,2119,351792
2016,PROPERTY,7,2347,1317929
2016,PROPERTY,7,2347,351792
2016,PROPERTY,8,1473,1317929
2016,PROPERTY,8,1473,351792
