Category,year,month,N
PROPERTY CRIMES,2003,1,515
PROPERTY CRIMES,2003,2,468
PROPERTY CRIMES,2003,3,584
PROPERTY CRIMES,2003,4,573
PROPERTY CRIMES,2003,5,613
PROPERTY CRIMES,2003,6,489
PROPERTY CRIMES,2003,7,498
PROPERTY CRIMES,2003,8,506
PROPERTY CRIMES,2003,9,464
PROPERTY CRIMES,2003,10,595
PROPERTY CRIMES,2003,11,537
PROPERTY CRIMES,2003,12,498
PROPERTY CRIMES,2004,1,563
PROPERTY CRIMES,2004,2,498
PROPERTY CRIMES,2004,3,631
PROPERTY CRIMES,2004,4,594
PROPERTY CRIMES,2004,5,612
PROPERTY CRIMES,2004,6,553
PROPERTY CRIMES,2004,7,596
PROPERTY CRIMES,2004,8,600
PROPERTY CRIMES,2004,9,514
PROPERTY CRIMES,2004,10,602
PROPERTY CRIMES,2004,11,629
PROPERTY CRIMES,2004,12,641
PROPERTY CRIMES,2005,1,719
PROPERTY CRIMES,2005,2,564
PROPERTY CRIMES,2005,3,673
PROPERTY CRIMES,2005,4,575
PROPERTY CRIMES,2005,5,635
PROPERTY CRIMES,2005,6,609
PROPERTY CRIMES,2005,7,714
PROPERTY CRIMES,2005,8,615
PROPERTY CRIMES,2005,9,548
PROPERTY CRIMES,2005,10,544
PROPERTY CRIMES,2005,11,530
PROPERTY CRIMES,2005,12,576
PROPERTY CRIMES,2006,1,551
PROPERTY CRIMES,2006,2,528
PROPERTY CRIMES,2006,3,592
PROPERTY CRIMES,2006,4,635
PROPERTY CRIMES,2006,5,648
PROPERTY CRIMES,2006,6,614
PROPERTY CRIMES,2006,7,680
PROPERTY CRIMES,2006,8,682
PROPERTY CRIMES,2006,9,589
PROPERTY CRIMES,2006,10,535
PROPERTY CRIMES,2006,11,596
PROPERTY CRIMES,2006,12,594
PROPERTY CRIMES,2007,1,524
PROPERTY CRIMES,2007,2,394
PROPERTY CRIMES,2007,3,443
PROPERTY CRIMES,2007,4,496
PROPERTY CRIMES,2007,5,455
PROPERTY CRIMES,2007,6,469
PROPERTY CRIMES,2007,7,538
PROPERTY CRIMES,2007,8,490
PROPERTY CRIMES,2007,9,412
PROPERTY CRIMES,2007,10,474
PROPERTY CRIMES,2007,11,505
PROPERTY CRIMES,2007,12,500
PROPERTY CRIMES,2008,1,450
PROPERTY CRIMES,2008,2,394
PROPERTY CRIMES,2008,3,504
PROPERTY CRIMES,2008,4,460
PROPERTY CRIMES,2008,5,476
PROPERTY CRIMES,2008,6,458
PROPERTY CRIMES,2008,7,521
PROPERTY CRIMES,2008,8,497
PROPERTY CRIMES,2008,9,570
PROPERTY CRIMES,2008,10,512
PROPERTY CRIMES,2008,11,543
PROPERTY CRIMES,2008,12,542
PROPERTY CRIMES,2009,1,461
PROPERTY CRIMES,2009,2,406
PROPERTY CRIMES,2009,3,515
PROPERTY CRIMES,2009,4,509
PROPERTY CRIMES,2009,5,458
PROPERTY CRIMES,2009,6,447
PROPERTY CRIMES,2009,7,505
PROPERTY CRIMES,2009,8,472
PROPERTY CRIMES,2009,9,433
PROPERTY CRIMES,2009,10,444
PROPERTY CRIMES,2009,11,462
PROPERTY CRIMES,2009,12,489
PROPERTY CRIMES,2010,1,440
PROPERTY CRIMES,2010,2,383
PROPERTY CRIMES,2010,3,423
PROPERTY CRIMES,2010,4,452
PROPERTY CRIMES,2010,5,513
PROPERTY CRIMES,2010,6,479
PROPERTY CRIMES,2010,7,450
PROPERTY CRIMES,2010,8,425
PROPERTY CRIMES,2010,9,404
PROPERTY CRIMES,2010,10,414
PROPERTY CRIMES,2010,11,399
PROPERTY CRIMES,2010,12,393
PROPERTY CRIMES,2011,1,467
PROPERTY CRIMES,2011,2,334
PROPERTY CRIMES,2011,3,385
PROPERTY CRIMES,2011,4,400
PROPERTY CRIMES,2011,5,420
PROPERTY CRIMES,2011,6,403
PROPERTY CRIMES,2011,7,398
PROPERTY CRIMES,2011,8,483
PROPERTY CRIMES,2011,9,485
PROPERTY CRIMES,2011,10,435
PROPERTY CRIMES,2011,11,492
PROPERTY CRIMES,2011,12,488
PROPERTY CRIMES,2012,1,500
PROPERTY CRIMES,2012,2,480
PROPERTY CRIMES,2012,3,487
PROPERTY CRIMES,2012,4,554
PROPERTY CRIMES,2012,5,540
PROPERTY CRIMES,2012,6,516
PROPERTY CRIMES,2012,7,547
PROPERTY CRIMES,2012,8,564
PROPERTY CRIMES,2012,9,507
PROPERTY CRIMES,2012,10,612
PROPERTY CRIMES,2012,11,602
PROPERTY CRIMES,2012,12,571
PROPERTY CRIMES,2013,1,544
PROPERTY CRIMES,2013,2,463
PROPERTY CRIMES,2013,3,541
PROPERTY CRIMES,2013,4,551
PROPERTY CRIMES,2013,5,527
PROPERTY CRIMES,2013,6,504
PROPERTY CRIMES,2013,7,559
PROPERTY CRIMES,2013,8,551
PROPERTY CRIMES,2013,9,587
PROPERTY CRIMES,2013,10,546
PROPERTY CRIMES,2013,11,541
PROPERTY CRIMES,2013,12,529
PROPERTY CRIMES,2014,1,650
PROPERTY CRIMES,2014,2,528
PROPERTY CRIMES,2014,3,576
PROPERTY CRIMES,2014,4,503
PROPERTY CRIMES,2014,5,500
PROPERTY CRIMES,2014,6,467
PROPERTY CRIMES,2014,7,519
PROPERTY CRIMES,2014,8,499
PROPERTY CRIMES,2014,9,471
PROPERTY CRIMES,2014,10,577
PROPERTY CRIMES,2014,11,490
PROPERTY CRIMES,2014,12,539
PROPERTY CRIMES,2015,1,536
PROPERTY CRIMES,2015,2,512
PROPERTY CRIMES,2015,3,534
PROPERTY CRIMES,2015,4,520
PROPERTY CRIMES,2015,5,598
PROPERTY CRIMES,2015,6,529
PROPERTY CRIMES,2015,7,513
PROPERTY CRIMES,2015,8,506
PROPERTY CRIMES,2015,9,483
PROPERTY CRIMES,2015,10,486
PROPERTY CRIMES,2015,11,482
PROPERTY CRIMES,2015,12,543
PROPERTY CRIMES,2016,1,548
PROPERTY CRIMES,2016,2,532
PROPERTY CRIMES,2016,3,573
PROPERTY CRIMES,2016,4,483
PROPERTY CRIMES,2016,5,450
PROPERTY CRIMES,2016,6,428
PROPERTY CRIMES,2016,7,528
PROPERTY CRIMES,2016,8,505
PROPERTY CRIMES,2016,9,533
PROPERTY CRIMES,2016,10,479
PROPERTY CRIMES,2016,11,480
PROPERTY CRIMES,2016,12,553
PROPERTY CRIMES,2017,1,523
PROPERTY CRIMES,2017,2,520
PROPERTY CRIMES,2017,3,592
PROPERTY CRIMES,2017,4,506
PROPERTY CRIMES,2017,5,519
PROPERTY CRIMES,2017,6,447
PROPERTY CRIMES,2017,7,460
PROPERTY CRIMES,2017,8,444
PROPERTY CRIMES,2017,9,488
PROPERTY CRIMES,2017,10,342
QUALITY OF LIFE CRIMES,2003,1,10976
QUALITY OF LIFE CRIMES,2003,2,10143
QUALITY OF LIFE CRIMES,2003,3,10849
QUALITY OF LIFE CRIMES,2003,4,10841
QUALITY OF LIFE CRIMES,2003,5,10607
QUALITY OF LIFE CRIMES,2003,6,10101
QUALITY OF LIFE CRIMES,2003,7,10492
QUALITY OF LIFE CRIMES,2003,8,10935
QUALITY OF LIFE CRIMES,2003,9,10792
QUALITY OF LIFE CRIMES,2003,10,10909
QUALITY OF LIFE CRIMES,2003,11,9927
QUALITY OF LIFE CRIMES,2003,12,9280
QUALITY OF LIFE CRIMES,2004,1,11136
QUALITY OF LIFE CRIMES,2004,2,10067
QUALITY OF LIFE CRIMES,2004,3,10944
QUALITY OF LIFE CRIMES,2004,4,10718
QUALITY OF LIFE CRIMES,2004,5,11282
QUALITY OF LIFE CRIMES,2004,6,10367
QUALITY OF LIFE CRIMES,2004,7,10601
QUALITY OF LIFE CRIMES,2004,8,10545
QUALITY OF LIFE CRIMES,2004,9,9949
QUALITY OF LIFE CRIMES,2004,10,10156
QUALITY OF LIFE CRIMES,2004,11,9140
QUALITY OF LIFE CRIMES,2004,12,9654
QUALITY OF LIFE CRIMES,2005,1,10319
QUALITY OF LIFE CRIMES,2005,2,8986
QUALITY OF LIFE CRIMES,2005,3,10291
QUALITY OF LIFE CRIMES,2005,4,10160
QUALITY OF LIFE CRIMES,2005,5,10302
QUALITY OF LIFE CRIMES,2005,6,9777
QUALITY OF LIFE CRIMES,2005,7,9868
QUALITY OF LIFE CRIMES,2005,8,10262
QUALITY OF LIFE CRIMES,2005,9,9748
QUALITY OF LIFE CRIMES,2005,10,10732
QUALITY OF LIFE CRIMES,2005,11,9783
QUALITY OF LIFE CRIMES,2005,12,9213
QUALITY OF LIFE CRIMES,2006,1,9912
QUALITY OF LIFE CRIMES,2006,2,8936
QUALITY OF LIFE CRIMES,2006,3,9624
QUALITY OF LIFE CRIMES,2006,4,9467
QUALITY OF LIFE CRIMES,2006,5,9314
QUALITY OF LIFE CRIMES,2006,6,9491
QUALITY OF LIFE CRIMES,2006,7,9497
QUALITY OF LIFE CRIMES,2006,8,10334
QUALITY OF LIFE CRIMES,2006,9,9370
QUALITY OF LIFE CRIMES,2006,10,9854
QUALITY OF LIFE CRIMES,2006,11,8981
QUALITY OF LIFE CRIMES,2006,12,8931
QUALITY OF LIFE CRIMES,2007,1,9736
QUALITY OF LIFE CRIMES,2007,2,8869
QUALITY OF LIFE CRIMES,2007,3,10074
QUALITY OF LIFE CRIMES,2007,4,9090
QUALITY OF LIFE CRIMES,2007,5,9571
QUALITY OF LIFE CRIMES,2007,6,9184
QUALITY OF LIFE CRIMES,2007,7,9821
QUALITY OF LIFE CRIMES,2007,8,9868
QUALITY OF LIFE CRIMES,2007,9,10055
QUALITY OF LIFE CRIMES,2007,10,10182
QUALITY OF LIFE CRIMES,2007,11,9695
QUALITY OF LIFE CRIMES,2007,12,8904
QUALITY OF LIFE CRIMES,2008,1,10098
QUALITY OF LIFE CRIMES,2008,2,9347
QUALITY OF LIFE CRIMES,2008,3,10421
QUALITY OF LIFE CRIMES,2008,4,9489
QUALITY OF LIFE CRIMES,2008,5,9856
QUALITY OF LIFE CRIMES,2008,6,8890
QUALITY OF LIFE CRIMES,2008,7,10324
QUALITY OF LIFE CRIMES,2008,8,9441
QUALITY OF LIFE CRIMES,2008,9,10001
QUALITY OF LIFE CRIMES,2008,10,10943
QUALITY OF LIFE CRIMES,2008,11,9994
QUALITY OF LIFE CRIMES,2008,12,9325
QUALITY OF LIFE CRIMES,2009,1,10068
QUALITY OF LIFE CRIMES,2009,2,9111
QUALITY OF LIFE CRIMES,2009,3,10753
QUALITY OF LIFE CRIMES,2009,4,10122
QUALITY OF LIFE CRIMES,2009,5,9501
QUALITY OF LIFE CRIMES,2009,6,8570
QUALITY OF LIFE CRIMES,2009,7,9661
QUALITY OF LIFE CRIMES,2009,8,11058
QUALITY OF LIFE CRIMES,2009,9,10525
QUALITY OF LIFE CRIMES,2009,10,10083
QUALITY OF LIFE CRIMES,2009,11,9515
QUALITY OF LIFE CRIMES,2009,12,8952
QUALITY OF LIFE CRIMES,2010,1,9598
QUALITY OF LIFE CRIMES,2010,2,8594
QUALITY OF LIFE CRIMES,2010,3,9411
QUALITY OF LIFE CRIMES,2010,4,8759
QUALITY OF LIFE CRIMES,2010,5,9685
QUALITY OF LIFE CRIMES,2010,6,9047
QUALITY OF LIFE CRIMES,2010,7,9156
QUALITY OF LIFE CRIMES,2010,8,9898
QUALITY OF LIFE CRIMES,2010,9,9994
QUALITY OF LIFE CRIMES,2010,10,9973
QUALITY OF LIFE CRIMES,2010,11,9089
QUALITY OF LIFE CRIMES,2010,12,9078
QUALITY OF LIFE CRIMES,2011,1,9775
QUALITY OF LIFE CRIMES,2011,2,8506
QUALITY OF LIFE CRIMES,2011,3,9693
QUALITY OF LIFE CRIMES,2011,4,9485
QUALITY OF LIFE CRIMES,2011,5,9647
QUALITY OF LIFE CRIMES,2011,6,9318
QUALITY OF LIFE CRIMES,2011,7,9014
QUALITY OF LIFE CRIMES,2011,8,9212
QUALITY OF LIFE CRIMES,2011,9,9388
QUALITY OF LIFE CRIMES,2011,10,9545
QUALITY OF LIFE CRIMES,2011,11,8759
QUALITY OF LIFE CRIMES,2011,12,9089
QUALITY OF LIFE CRIMES,2012,1,9720
QUALITY OF LIFE CRIMES,2012,2,9159
QUALITY OF LIFE CRIMES,2012,3,9609
QUALITY OF LIFE CRIMES,2012,4,9407
QUALITY OF LIFE CRIMES,2012,5,9919
QUALITY OF LIFE CRIMES,2012,6,9217
QUALITY OF LIFE CRIMES,2012,7,9687
QUALITY OF LIFE CRIMES,2012,8,10305
QUALITY OF LIFE CRIMES,2012,9,10066
QUALITY OF LIFE CRIMES,2012,10,11042
QUALITY OF LIFE CRIMES,2012,11,9994
QUALITY OF LIFE CRIMES,2012,12,9824
QUALITY OF LIFE CRIMES,2013,1,10797
QUALITY OF LIFE CRIMES,2013,2,9939
QUALITY OF LIFE CRIMES,2013,3,10912
QUALITY OF LIFE CRIMES,2013,4,10523
QUALITY OF LIFE CRIMES,2013,5,10788
QUALITY OF LIFE CRIMES,2013,6,10287
QUALITY OF LIFE CRIMES,2013,7,11103
QUALITY OF LIFE CRIMES,2013,8,11505
QUALITY OF LIFE CRIMES,2013,9,11605
QUALITY OF LIFE CRIMES,2013,10,11783
QUALITY OF LIFE CRIMES,2013,11,10366
QUALITY OF LIFE CRIMES,2013,12,9451
QUALITY OF LIFE CRIMES,2014,1,10776
QUALITY OF LIFE CRIMES,2014,2,9834
QUALITY OF LIFE CRIMES,2014,3,10983
