year,Category,month,N,population
2008,PROPERTY,2,1978,590074
2008,PROPERTY,3,1985,590074
2008,PROPERTY,1,2073,590074
2008,VIOLENT,1,575,590074
2008,PROPERTY,5,2450,590074
2008,VIOLENT,2,468,590074
2008,VIOLENT,3,569,590074
2008,PROPERTY,4,2073,590074
2008,PROPERTY,9,2205,590074
2008,PROPERTY,6,2416,590074
2008,PROPERTY,7,2584,590074
2008,PROPERTY,8,2320,590074
2008,VIOLENT,4,642,590074
2008,PROPERTY,10,2429,590074
2008,PROPERTY,11,2106,590074
2008,PROPERTY,12,2192,590074
2008,VIOLENT,8,648,590074
2008,VIOLENT,5,684,590074
2008,VIOLENT,6,659,590074
2008,VIOLENT,7,697,590074
2008,VIOLENT,12,536,590074
2008,VIOLENT,9,638,590074
2008,VIOLENT,10,671,590074
2008,VIOLENT,11,610,590074
2009,PROPERTY,2,1812,599657
2009,VIOLENT,2,489,599657
2009,PROPERTY,3,1821,599657
2009,PROPERTY,4,1932,599657
2009,PROPERTY,1,2053,599657
2009,VIOLENT,1,571,599657
2009,PROPERTY,6,2339,599657
2009,VIOLENT,3,521,599657
2009,VIOLENT,4,539,599657
2009,PROPERTY,5,2248,599657
2009,PROPERTY,10,2113,599657
2009,PROPERTY,7,2375,599657
2009,PROPERTY,8,2338,599657
2009,PROPERTY,9,2118,599657
2009,VIOLENT,5,614,599657
2009,PROPERTY,11,1970,599657
2009,PROPERTY,12,1687,599657
2009,VIOLENT,8,556,599657
2009,VIOLENT,9,555,599657
2009,VIOLENT,6,530,599657
2009,VIOLENT,7,561,599657
2009,VIOLENT,12,443,599657
2009,VIOLENT,10,563,599657
2009,VIOLENT,11,462,599657
2010,PROPERTY,3,1896,601723
2010,PROPERTY,1,1699,601723
2010,PROPERTY,2,1231,601723
2010,VIOLENT,3,506,601723
2010,VIOLENT,4,536,601723
2010,PROPERTY,4,2032,601723
2010,VIOLENT,1,471,601723
2010,VIOLENT,2,324,601723
2010,PROPERTY,5,2236,601723
2010,PROPERTY,6,2259,601723
2010,PROPERTY,7,2404,601723
2010,VIOLENT,5,612,601723
2010,PROPERTY,9,2387,601723
2010,PROPERTY,10,2414,601723
2010,PROPERTY,11,2214,601723
2010,PROPERTY,8,2491,601723
2010,VIOLENT,8,557,601723
2010,VIOLENT,9,555,601723
2010,VIOLENT,6,609,601723
2010,PROPERTY,12,2031,601723
2010,VIOLENT,12,447,601723
2010,VIOLENT,10,551,601723
2010,VIOLENT,7,630,601723
2010,VIOLENT,11,505,601723
2011,PROPERTY,4,1948,619020
2011,PROPERTY,3,2056,619020
2011,PROPERTY,2,1758,619020
2011,PROPERTY,5,2267,619020
2011,PROPERTY,1,1857,619020
2011,PROPERTY,7,2403,619020
2011,VIOLENT,4,484,619020
2011,VIOLENT,5,574,619020
2011,PROPERTY,6,2395,619020
2011,VIOLENT,1,408,619020
2011,VIOLENT,2,380,619020
2011,VIOLENT,3,508,619020
2011,PROPERTY,9,2362,619020
2011,VIOLENT,6,568,619020
2011,VIOLENT,7,628,619020
2011,PROPERTY,8,2431,619020
2011,VIOLENT,8,566,619020
2011,PROPERTY,10,2607,619020
2011,PROPERTY,11,2442,619020
2011,PROPERTY,12,2457,619020
2011,VIOLENT,12,623,619020
2011,VIOLENT,9,612,619020
2011,VIOLENT,10,660,619020
2011,VIOLENT,11,580,619020
2012,PROPERTY,6,2399,632323
2012,PROPERTY,2,1905,632323
2012,PROPERTY,3,2054,632323
2012,PROPERTY,4,2009,632323
2012,PROPERTY,1,2407,632323
2012,VIOLENT,6,604,632323
2012,PROPERTY,7,2625,632323
2012,PROPERTY,8,2742,632323
2012,PROPERTY,5,2398,632323
2012,VIOLENT,1,581,632323
2012,VIOLENT,2,491,632323
2012,VIOLENT,3,466,632323
2012,VIOLENT,4,563,632323
2012,VIOLENT,5,549,632323
2012,PROPERTY,10,2662,632323
2012,VIOLENT,7,614,632323
2012,VIOLENT,8,694,632323
2012,PROPERTY,9,2479,632323
2012,VIOLENT,9,624,632323
2012,PROPERTY,11,2386,632323
2012,PROPERTY,12,2366,632323
2012,VIOLENT,12,624,632323
2012,VIOLENT,10,636,632323
2012,VIOLENT,11,507,632323
2013,PROPERTY,7,2600,646449
2013,PROPERTY,1,2246,646449
2013,PROPERTY,2,1803,646449
2013,PROPERTY,3,2142,646449
2013,PROPERTY,4,2176,646449
2013,PROPERTY,5,2569,646449
2013,PROPERTY,6,2569,646449
2013,VIOLENT,7,598,646449
2013,VIOLENT,8,621,646449
2013,PROPERTY,8,2673,646449
2013,VIOLENT,1,575,646449
2013,VIOLENT,2,441,646449
2013,VIOLENT,3,446,646449
2013,VIOLENT,4,539,646449
2013,VIOLENT,5,627,646449
2013,VIOLENT,6,631,646449
2013,PROPERTY,9,2736,646449
2013,PROPERTY,10,2673,646449
2013,PROPERTY,11,2419,646449
2013,VIOLENT,9,634,646449
2013,VIOLENT,12,510,646449
2013,VIOLENT,10,631,646449
2013,PROPERTY,12,2522,646449
2013,VIOLENT,11,538,646449
2014,PROPERTY,8,3248,658893
2014,PROPERTY,7,3150,658893
2014,PROPERTY,2,1871,658893
2014,PROPERTY,9,3163,658893
2014,PROPERTY,1,2371,658893
2014,PROPERTY,6,2817,658893
2014,PROPERTY,3,2050,658893
2014,PROPERTY,4,2317,658893
2014,PROPERTY,5,2692,658893
2014,PROPERTY,11,2812,658893
2014,VIOLENT,8,595,658893
2014,VIOLENT,9,557,658893
2014,PROPERTY,10,3192,658893
2014,VIOLENT,1,509,658893
2014,VIOLENT,2,345,658893
2014,VIOLENT,3,419,658893
2014,VIOLENT,4,448,658893
2014,VIOLENT,5,492,658893
2014,VIOLENT,6,557,658893
2014,VIOLENT,7,580,658893
2014,VIOLENT,12,475,658893
2014,VIOLENT,10,668,658893
2014,VIOLENT,11,524,658893
2014,PROPERTY,12,2596,658893
2015,PROPERTY,10,2829,672228
2015,PROPERTY,2,1614,672228
2015,PROPERTY,3,2032,672228
2015,PROPERTY,4,2424,672228
2015,PROPERTY,1,2443,672228
2015,PROPERTY,6,2881,672228
2015,PROPERTY,7,2999,672228
2015,PROPERTY,8,2904,672228
2015,PROPERTY,5,2800,672228
2015,VIOLENT,10,587,672228
2015,PROPERTY,11,2605,672228
2015,PROPERTY,12,2795,672228
2015,PROPERTY,9,2744,672228
2015,VIOLENT,1,446,672228
2015,VIOLENT,2,284,672228
2015,VIOLENT,3,454,672228
2015,VIOLENT,4,517,672228
2015,VIOLENT,5,558,672228
2015,VIOLENT,6,542,672228
2015,VIOLENT,7,649,672228
2015,VIOLENT,8,571,672228
2015,VIOLENT,9,525,672228
2015,VIOLENT,11,533,672228
2015,VIOLENT,12,580,672228
2016,PROPERTY,11,2716,681170
2016,PROPERTY,1,2083,681170
2016,PROPERTY,2,1999,681170
2016,PROPERTY,3,2450,681170
2016,PROPERTY,4,2428,681170
2016,PROPERTY,5,2790,681170
2016,PROPERTY,6,2893,681170
2016,PROPERTY,7,2889,681170
2016,PROPERTY,8,2730,681170
2016,PROPERTY,9,2749,681170
2016,PROPERTY,10,3036,681170
2016,VIOLENT,11,401,681170
2016,VIOLENT,12,387,681170
2016,PROPERTY,12,2699,681170
2016,VIOLENT,1,522,681170
2016,VIOLENT,2,414,681170
2016,VIOLENT,3,445,681170
2016,VIOLENT,4,475,681170
2016,VIOLENT,5,543,681170
2016,VIOLENT,6,536,681170
2016,VIOLENT,7,548,681170
2016,VIOLENT,8,477,681170
2016,VIOLENT,9,500,681170
2016,VIOLENT,10,473,681170
