year;population;rank
2016;2,704,958;3
2015;2,720,546;3
2014;2,722,389;3
2013;2,718,782;3
2012;2,714,856;3
2011;2,705,248;3
2010;2,695,598;3
2009;2,851,268;3
2008;2,830,026;3
2007;2,811,035;3
2006;2,806,391;3
2005;2,824,584;3
2004;2,848,996;3
2003;2,866,361;3
2002;2,881,295;3
2001;2,894,988;3
2000;2,895,671;3
1990;2,783,660;3
1980;3,005,072;2
1970;3,366,957;2
1960;3,550,404;2
1950;3,620,962;2
1940;3,396,808;2
1930;3,376,438;2
1920;2,701,705;2
1910;2,185,283;2
1900;1,698,575;2
1890;1,099,850;2
1880;503,185;4
1870;298,977;5
1860;112,172;9
1850;29,963;24
1840;4,470;92
