year,Category,month,N,population
2009,VIOLENT CRIMES,11,2,616627
2009,PROPERTY CRIMES,10,1,616627
2009,PROPERTY CRIMES,11,2,616627
2009,PROPERTY CRIMES,12,2,616627
2009,PROPERTY CRIMES,6,1,616627
2009,QUALITY OF LIFE CRIMES,11,1,616627
2009,QUALITY OF LIFE CRIMES,6,3,616627
2009,QUALITY OF LIFE CRIMES,8,5,616627
2009,QUALITY OF LIFE CRIMES,10,5,616627
2009,QUALITY OF LIFE CRIMES,12,1,616627
2010,PROPERTY CRIMES,3,3,608660
2010,QUALITY OF LIFE CRIMES,9,20058,608660
2010,PROPERTY CRIMES,1,7,608660
2010,PROPERTY CRIMES,2,3,608660
2010,QUALITY OF LIFE CRIMES,8,21646,608660
2010,QUALITY OF LIFE CRIMES,7,10167,608660
2010,VIOLENT CRIMES,7,589,608660
2010,QUALITY OF LIFE CRIMES,10,20096,608660
2010,QUALITY OF LIFE CRIMES,6,34,608660
2010,PROPERTY CRIMES,11,3189,608660
2010,PROPERTY CRIMES,12,3244,608660
2010,QUALITY OF LIFE CRIMES,3,7,608660
2010,QUALITY OF LIFE CRIMES,4,5,608660
2010,QUALITY OF LIFE CRIMES,5,12,608660
2010,QUALITY OF LIFE CRIMES,12,12905,608660
2010,PROPERTY CRIMES,4,6,608660
2010,VIOLENT CRIMES,8,1094,608660
2010,QUALITY OF LIFE CRIMES,11,17653,608660
2010,PROPERTY CRIMES,10,3818,608660
2010,VIOLENT CRIMES,12,819,608660
2010,PROPERTY CRIMES,8,3836,608660
2010,PROPERTY CRIMES,9,3682,608660
2010,VIOLENT CRIMES,9,1054,608660
2010,QUALITY OF LIFE CRIMES,1,16,608660
2010,QUALITY OF LIFE CRIMES,2,5,608660
2010,PROPERTY CRIMES,7,1919,608660
2010,VIOLENT CRIMES,10,1055,608660
2010,VIOLENT CRIMES,11,973,608660
2010,PROPERTY CRIMES,5,17,608660
2010,PROPERTY CRIMES,6,45,608660
2011,QUALITY OF LIFE CRIMES,9,16930,621897
2011,QUALITY OF LIFE CRIMES,7,18336,621897
2011,QUALITY OF LIFE CRIMES,8,18391,621897
2011,QUALITY OF LIFE CRIMES,11,10624,621897
2011,QUALITY OF LIFE CRIMES,3,9401,621897
2011,VIOLENT CRIMES,7,655,621897
2011,QUALITY OF LIFE CRIMES,10,15751,621897
2011,PROPERTY CRIMES,12,3469,621897
2011,VIOLENT CRIMES,5,689,621897
2011,QUALITY OF LIFE CRIMES,4,15542,621897
2011,QUALITY OF LIFE CRIMES,5,16301,621897
2011,QUALITY OF LIFE CRIMES,6,15296,621897
2011,VIOLENT CRIMES,9,657,621897
2011,VIOLENT CRIMES,6,623,621897
2011,PROPERTY CRIMES,4,3598,621897
2011,VIOLENT CRIMES,8,701,621897
2011,PROPERTY CRIMES,11,2393,621897
2011,QUALITY OF LIFE CRIMES,2,8685,621897
2011,VIOLENT CRIMES,2,366,621897
2011,VIOLENT CRIMES,3,436,621897
2011,VIOLENT CRIMES,4,732,621897
2011,PROPERTY CRIMES,1,3968,621897
2011,PROPERTY CRIMES,2,1773,621897
2011,PROPERTY CRIMES,3,2157,621897
2011,PROPERTY CRIMES,5,3590,621897
2011,PROPERTY CRIMES,6,3590,621897
2011,VIOLENT CRIMES,10,705,621897
2011,QUALITY OF LIFE CRIMES,12,15086,621897
2011,VIOLENT CRIMES,12,616,621897
2011,PROPERTY CRIMES,10,3728,621897
2011,QUALITY OF LIFE CRIMES,1,20124,621897
2011,VIOLENT CRIMES,1,860,621897
2011,PROPERTY CRIMES,8,3950,621897
2011,PROPERTY CRIMES,9,3759,621897
2011,VIOLENT CRIMES,11,438,621897
2011,PROPERTY CRIMES,7,4145,621897
2012,QUALITY OF LIFE CRIMES,5,17302,634535
2012,QUALITY OF LIFE CRIMES,6,18096,634535
2012,QUALITY OF LIFE CRIMES,7,22992,634535
2012,QUALITY OF LIFE CRIMES,8,19103,634535
2012,QUALITY OF LIFE CRIMES,9,16938,634535
2012,PROPERTY CRIMES,6,3843,634535
2012,PROPERTY CRIMES,7,4880,634535
2012,QUALITY OF LIFE CRIMES,3,16583,634535
2012,QUALITY OF LIFE CRIMES,4,16704,634535
2012,PROPERTY CRIMES,1,3520,634535
2012,PROPERTY CRIMES,12,3472,634535
2012,PROPERTY CRIMES,3,3700,634535
2012,PROPERTY CRIMES,4,3620,634535
2012,PROPERTY CRIMES,5,3836,634535
2012,PROPERTY CRIMES,2,3600,634535
2012,QUALITY OF LIFE CRIMES,10,16023,634535
2012,PROPERTY CRIMES,8,4138,634535
2012,PROPERTY CRIMES,9,3794,634535
2012,VIOLENT CRIMES,8,764,634535
2012,PROPERTY CRIMES,11,3699,634535
2012,QUALITY OF LIFE CRIMES,2,15197,634535
2012,VIOLENT CRIMES,2,712,634535
2012,VIOLENT CRIMES,3,693,634535
2012,VIOLENT CRIMES,4,691,634535
2012,VIOLENT CRIMES,5,653,634535
2012,VIOLENT CRIMES,6,677,634535
2012,VIOLENT CRIMES,7,796,634535
2012,QUALITY OF LIFE CRIMES,12,13932,634535
2012,PROPERTY CRIMES,10,3849,634535
